Име,Град,Color,Subsums,Traffic,Точки
MDK,Габрово,100.0,100.0,100.0,300.0
ZEM,Плевен,20.0,100.0,100.0,220.0
IYS,Шумен,5.0,100.0,100.0,205.0
CII,София,75.0,100.0,0.0,175.0
KKI,Пловдив,45.0,100.0,20.0,165.0
BEI,Русе,100.0,10.0,50.0,160.0
KKK,София,90.0,70.0,0,160.0
DVB,Габрово,45.0,100.0,10.0,155.0
VIK,Русе,45.0,0.0,100.0,145.0
SIN,Плевен,100.0,20.0,18.0,138.0
AND,Варна,20.0,0.0,100.0,120.0
SNB,Шумен,10.0,100.0,0.0,110.0
AIC,София,45.0,45.0,16.0,106.0
BMG,Пловдив,45.0,45.0,0,90.0
SDM,Хасково,5.0,50.0,34.0,89.0
DPT,Велико Търново,55.0,25.0,0.0,80.0
IPD,Варна,45.0,30.0,0.0,75.0
VAD,Габрово,35.0,30.0,8.0,73.0
MPM,Русе,35.0,30.0,8.0,73.0
AIT,Благоевград,55.0,5.0,8.0,68.0
DPK,Пловдив,45.0,10.0,0,55.0
FTI,Шумен,45.0,0.0,8.0,53.0
GGI,Варна,45.0,0.0,2.0,47.0
LLK,Варна,45.0,0.0,2.0,47.0
LVM,Бургас,45.0,0.0,0,45.0
AAM1,Пловдив,20.0,5.0,12.0,37.0
DTK,Смолян,25.0,5.0,0.0,30.0
TTG,Габрово,5.0,15.0,0.0,20.0
MGM,Велико Търново,10.0,5.0,0.0,15.0
IBB,Шумен,0,10.0,0,10.0
FIM,София,10.0,0.0,0.0,10.0
SDK,София,10.0,0.0,0,10.0
KTK,София,10.0,0.0,0.0,10.0
BNS,Смолян,0.0,5.0,0.0,5.0
DDG,Варна,0.0,5.0,0.0,5.0
VMS,София,0.0,0.0,0.0,0.0
AST,София,0.0,0.0,0.0,0.0
YBI,София,0,0,0,0
