име,град,bio-score,bio-verdict,bio-max-time,degrees-score,degrees-verdict,degrees-max-time,dentist-score,dentist-verdict,dentist-max-time,точки
MYY,Шумен,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.056,100.0,OK OK OK OK OK OK OK OK OK OK,0.006,300.0
CVM,Варна,95.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,295.0
NNN,Варна,90.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK WA OK OK OK,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.053,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,290.0
MOB,Плевен,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,290.0
RMM,Ямбол,90.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK WA OK OK OK,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,290.0
ATB,Пловдив,85.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.059,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,285.0
DNN,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,75.0,OK OK OK OK OK OK OK OK WA WA OK OK OK OK WA WA WA OK OK OK,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,275.0
VDM,Варна,65.0,OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA OK OK WA WA,0.173,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.016,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,265.0
MEI,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,225.0
SAM,Варна,60.0,RE OK OK OK OK RE OK RE OK OK RE OK RE OK RE RE OK RE OK OK,N/A,75.0,OK OK OK OK OK OK OK OK WA WA OK OK OK OK WA WA WA OK OK OK,0.019,90.0,OK OK OK OK OK OK OK OK OK WA,0.003,225.0
VPM,Благоевград,85.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA,0.003,35.0,OK OK OK OK OK TL TL TL TL TL OK TL TL TL TL TL TL OK TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,220.0
OBA,Варна,15.0,WA WA OK WA WA WA WA WA WA WA WA OK WA WA WA OK WA WA WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,215.0
GGP,Варна,80.0,OK OK OK OK OK OK OK OK OK OK OK WA OK WA OK OK OK OK WA WA,0.003,30.0,WA OK OK OK OK WA WA WA WA WA OK WA WA WA WA WA WA OK WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,210.0
NMM,Габрово,85.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA,0.003,25.0,OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,210.0
AAY,Варна,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,210.0
ISL,Варна,15.0,WA WA WA WA OK WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.056,90.0,OK OK OK OK OK OK OK OK OK WA,0.003,205.0
DSS,Варна,10.0,WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA OK WA WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.066,90.0,OK WA OK OK OK OK OK OK OK OK,0.003,200.0
