Име,Град,Number,Sdiv,Stories,Точки
EIM,Ямбол,100.0,99.99999999999997,100.0,300.0
DNK,Хасково,100.0,99.99999999999997,100.0,300.0
IGG,Шумен,100.0,99.99999999999997,100.0,300.0
VNT,София,100.0,99.99999999999997,100.0,300.0
PIN,Русе,100.0,99.99999999999997,100.0,300.0
IYY,Варна,100.0,99.99999999999997,100.0,300.0
EEI,Русе,100.0,99.99999999999997,100.0,300.0
ILB,София,100.0,99.99999999999997,100.0,300.0
SAS,Ямбол,95.0,99.99999999999997,100.0,295.0
RKC,Варна,85.0,99.99999999999997,100.0,285.0
ATK,Варна,100.0,76.66666666666667,100.0,276.6666666666667
VLG,Шумен,45.0,99.99999999999997,100.0,244.99999999999997
AVG,Хасково,100.0,23.333333333333332,100.0,223.33333333333331
IIG,Шумен,30.0,99.99999999999997,90.0,219.99999999999997
ADA,Плевен,100.0,0,100.0,200.0
RRB,София,100.0,99.99999999999997,0,199.99999999999997
IDI,София,0.0,99.99999999999997,100.0,199.99999999999997
ISD,Пловдив,100.0,29.999999999999996,65.0,195.0
SSP,Стара Загора,100.0,23.333333333333332,65.0,188.33333333333331
PGA,Шумен,30.0,99.99999999999997,55.0,184.99999999999997
AGS,Велико Търново,50.0,20.0,100.0,170.0
AII,Плевен,15.0,99.99999999999997,55.0,169.99999999999997
GAM,Варна,65.0,99.99999999999997,0,164.99999999999997
YVL,София,0.0,66.66666666666669,95.0,161.66666666666669
GBB,Шумен,30.0,29.999999999999996,90.0,150.0
IDA,Плевен,30.0,23.333333333333332,95.0,148.33333333333331
RGM,Хасково,30.0,26.666666666666664,90.0,146.66666666666666
PVG,София,15.0,23.333333333333332,95.0,133.33333333333331
KGA,Бургас,15.0,20.0,95.0,130.0
VGV,Шумен,30.0,0,95.0,125.0
SHB,Стара Загора,30.0,0.0,95.0,125.0
MIP,Русе,0,26.666666666666664,95.0,121.66666666666666
GSS,Бургас,15.0,3.3333333333333335,95.0,113.33333333333333
SYI,Велико Търново,0.0,23.333333333333332,90.0,113.33333333333333
GIG,Русе,20.0,0.0,90.0,110.0
KAB,София,0.0,13.333333333333334,90.0,103.33333333333333
IMM,Пловдив,70.0,29.999999999999996,0,100.0
VLV,Пловдив,10.0,0.0,90.0,100.0
GPP,Стара Загора,30.0,23.333333333333332,45.0,98.33333333333333
HCM,София,15.0,20.0,50.0,85.0
TTG,Стара Загора,0.0,20.0,65.0,85.0
GTY,София,30.0,3.3333333333333335,50.0,83.33333333333334
EDG,Шумен,0.0,0.0,80.0,80.0
VIS,Плевен,30.0,0.0,45.0,75.0
ASC,Велико Търново,0.0,0,65.0,65.0
TMH,Варна,10.0,0.0,55.0,65.0
DND,Бургас,30.0,0,25.0,55.0
KMK,Враца,0.0,0,50.0,50.0
GPP,София,0.0,0.0,50.0,50.0
MDD,Самоков,0.0,0.0,45.0,45.0
PMT,София,30.0,0,15.0,45.0
NEK,София,0.0,0.0,45.0,45.0
GDG,Габрово,15.0,23.333333333333332,5.0,43.33333333333333
AKM,София,0.0,0.0,40.0,40.0
GMM,Стара Загора,0.0,0.0,35.0,35.0
DKV,Плевен,30.0,0.0,0.0,30.0
DJS,София,0.0,0.0,25.0,25.0
NKN,Плевен,10.0,0.0,0.0,10.0
IMZ,Смолян,10.0,0,0.0,10.0
DNT,София,10.0,0,0.0,10.0
ADD,Перник,0.0,0,0,0.0
MMP,Плевен,0.0,0,0.0,0.0
MEC,Враца,0.0,0,0.0,0.0
AIV,София,0.0,0.0,0.0,0.0
HVH,Плевен,0.0,0.0,0.0,0.0
DPB,Русе,0,0,0,0
VAP,София,0,0.0,0.0,0.0
