име,град,corridor-score,corridor-verdict,corridor-max-time,paint-score,paint-verdict,paint-max-time,progres-score,progres-verdict,progres-max-time,точки
RSD,Пловдив,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.096,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.236,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.033,300.0
AVD,Пловдив,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.119,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.249,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.073,300.0
IYK,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.079,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.249,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.039,300.0
TOT,Габрово,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.086,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.149,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.023,295.0
AGR,София,72.5,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK RE RE RE RE RE RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.069,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.056,272.5
DNV,Пловдив,52.5,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.076,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.143,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.033,252.5
AAG,Ямбол,52.5,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.079,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.276,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.056,252.5
VVS,Русе,52.5,OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA OK OK OK OK OK OK OK OK OK OK TL TL TL RE TL TL TL RE TL TL,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA,0.473,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.033,242.5
DRD,Ямбол,37.5,OK OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.073,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.486,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.026,237.5
RYA,Варна,52.5,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.069,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.146,84.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA,0.033,236.5
YVP,Габрово,57.5,OK OK OK OK OK OK OK OK OK OK OK WA WA OK WA OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.136,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.479,76.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK WA WA WA WA WA,0.409,233.5
KRH,Варна,37.5,OK OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.166,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.086,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.389,232.5
VAC,Пловдив,32.5,OK OK OK OK OK OK WA WA WA WA WA WA WA WA OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.143,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.323,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.026,232.5
DYO,Варна,32.5,OK OK OK OK OK OK WA WA WA WA WA WA WA WA OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.106,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.029,232.5
SCN,София,30.0,OK OK WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.073,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.433,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.489,225.0
KVP,София,25.0,OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.309,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.023,225.0
SIT,София,75.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.109,52.0,OK OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK WA OK WA WA WA WA WA,0.019,222.0
MKD,София,75.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK RE RE RE RE RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.449,32.0,OK OK OK OK OK WA OK WA WA WA WA WA WA OK WA WA WA WA WA OK WA WA WA WA WA,0.173,207.0
AHH,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.489,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.073,200.0
AJV,София,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.046,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.349,200.0
VVM,Пловдив,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.339,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.029,200.0
YAZ,Плевен,20.0,OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.136,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.269,64.0,OK OK OK OK OK OK OK OK OK OK OK OK TL OK TL OK OK TL TL OK TL TL TL TL TL,N/A,184.0
DAC,Пловдив,37.5,OK OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.066,36.0,OK OK WA OK OK WA WA WA WA WA WA WA WA OK OK OK OK OK WA WA WA WA WA WA WA,0.103,168.5
BSD,Бургас,25.0,OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA OK WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,75.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK OK TL TL TL TL,N/A,56.0,OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL OK OK TL TL TL TL TL TL TL TL,N/A,156.0
KKI,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.079,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.176,56.0,OK OK OK OK OK OK OK OK WA OK WA OK TL OK TL OK OK TL TL OK TL TL TL TL WA,N/A,156.0
PVD,Габрово,75.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK RE RE RE RE RE RE RE RE RE RE,N/A,80.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,0,Compilation error,N/A,155.0
SPT,София,47.5,OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.069,50.0,WA OK OK OK OK OK OK WA WA WA OK OK OK OK WA WA WA WA WA WA,0.346,56.0,OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL OK OK TL TL TL TL TL TL TL TL,N/A,153.5
VPV,Габрово,52.5,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,152.5
HEB,Хасково,75.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,15.0,WA OK WA WA WA WA OK WA WA WA OK WA WA WA WA WA WA WA WA WA,0.476,60.0,OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL OK OK OK TL TL TL TL TL TL TL,N/A,150.0
GBH,Габрово,0.0,WA WA WA WA WA WA WA WA WA WA WA RE RE RE RE RE RE RE RE RE WA WA WA WA WA TL RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,84.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA,0.019,149.0
TPH,София,30.0,OK OK OK WA WA WA OK OK OK OK RE RE RE RE RE RE RE RE RE RE OK OK OK OK OK TL TL TL TL TL RE RE RE RE RE RE RE RE RE RE,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.099,24.0,OK OK OK OK OK WA WA WA WA WA WA TL TL OK TL WA WA TL TL TL TL TL TL TL TL,N/A,149.0
BII,Плевен,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.069,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.046,44.0,OK OK OK OK OK OK OK OK OK OK TL WA WA OK TL WA WA WA WA WA WA WA WA WA WA,N/A,144.0
IMS,София,37.5,OK OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.076,5.0,WA WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA,0.033,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.029,142.5
AII,Габрово,37.5,OK OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.136,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.236,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.029,137.5
IAD,София,37.5,OK OK OK OK OK OK OK WA WA WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.069,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.056,137.5
