Име,Град,Codes,Lines,Seq,Точки
MDK,Габрово,95.0,100.0,100.0,295.0
IYK,Варна,90.0,100.0,100.0,290.0
AAG,Ямбол,70.0,100.0,100.0,270.0
ZEM,Плевен,50.0,100.0,100.0,250.0
AGR,София,50.0,100.0,100.0,250.0
AIC,София,35.0,100.0,100.0,235.0
BEI,Русе,50.0,80.0,100.0,230.0
VAC,Пловдив,20.0,100.0,100.0,220.0
AII,Габрово,20.0,100.0,100.0,220.0
DVB,Габрово,20.0,100.0,100.0,220.0
SIT,София,20.0,100.0,100.0,220.0
FTI,Шумен,20.0,100.0,100.0,220.0
LLK,Варна,20.0,100.0,100.0,220.0
PVD,Габрово,20.0,100.0,100.0,220.0
SCC,София,20.0,100.0,100.0,220.0
IMS,София,15.0,100.0,100.0,215.0
AJV,София,10.0,100.0,100.0,210.0
IYS,Шумен,20.0,80.0,100.0,200.0
SDM,Хасково,20.0,80.0,100.0,200.0
TTT,Варна,20.0,70.0,100.0,190.0
DRD,Ямбол,50.0,40.0,100.0,190.0
DPT,Велико Търново,20.0,60.0,100.0,180.0
SNB,Шумен,10.0,70.0,100.0,180.0
MKD,София,0,80.0,100.0,180.0
AND,Варна,20.0,60.0,100.0,180.0
VAD,Габрово,20.0,100.0,53.84615384615385,173.84615384615384
CII,София,20.0,50.0,100.0,170.0
DDCh,София,20.0,100.0,46.15384615384615,166.15384615384616
MGM,Велико Търново,0,60.0,100.0,160.0
RYA,Варна,0,60.0,100.0,160.0
SCHN,София,0,60.0,100.0,160.0
DAC,Пловдив,40.0,10.0,100.0,150.0
YBI,София,10.0,60.0,76.92307692307692,146.9230769230769
KKI,Пловдив,20.0,50.0,53.84615384615385,123.84615384615384
BNS,Смолян,20.0,0.0,100.0,120.0
TKP,Варна,20.0,0.0,100.0,120.0
ETY,Велико Търново,0,20.0,100.0,120.0
MPM,Русе,20.0,0.0,100.0,120.0
MKP,Бургас,15.0,50.0,38.46153846153846,103.46153846153845
AGA,Плевен,0,100.0,0,100.0
SGG1,Варна,0,80.0,7.6923076923076925,87.6923076923077
GAH,Ловеч,0.0,60.0,0.0,60.0
ARR,Стара Загора,0,0,53.84615384615385,53.84615384615385
PSK,Варна,10.0,40.0,0.0,50.0
LVM,Бургас,0.0,0.0,46.15384615384615,46.15384615384615
MAP,Варна,0,0,30.76923076923077,30.76923076923077
AAM,Пловдив,0,30.0,0.0,30.0
AAS,София,20.0,10.0,0,30.0
MPM,Плевен,20.0,0.0,0.0,20.0
SIN,Плевен,0,0.0,15.384615384615385,15.384615384615385
EBK,Благоевград,0,10.0,0.0,10.0
SGG2,Варна,0,10.0,0,10.0
DKB,Смолян,0,10.0,0.0,10.0
NSN,Ловеч,0.0,0.0,7.6923076923076925,7.6923076923076925
MPG,Бургас,0,0.0,7.6923076923076925,7.6923076923076925
VYT,Бургас,0,0.0,7.6923076923076925,7.6923076923076925
IMZ,София,0.0,0.0,0.0,0.0
AAZ,София,0,0.0,0.0,0.0
RNS,Варна,0.0,0,0.0,0.0
IIP,Русе,0,0.0,0.0,0.0
IBB,Шумен,0,0.0,0,0.0
DTK,Смолян,0,0.0,0.0,0.0
KBJ,София,0,0.0,0,0.0
BII,Плевен,0,0.0,0,0.0
NNE,Враца,0.0,0.0,0.0,0.0
PKC,Враца,0.0,0.0,0.0,0.0
DGD,Ловеч,0,0.0,0.0,0.0
SPV,Варна,0.0,0.0,0.0,0.0
Vraca.xls,Враца,0,0,0,0
VDH,Враца,0.0,0.0,0.0,0.0
AAA,Варна,0,0.0,0.0,0.0
