име,град,growingbaby-score,growingbaby-verdict,growingbaby-max-time,maze-score,maze-verdict,maze-max-time,palindrome-score,palindrome-verdict,palindrome-max-time,точки
MYY,Шумен,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.075,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,299.99999999999994
VIK,Русе,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,299.99999999999994
AIT,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,76.47058823529412,OK OK OK OK WA OK OK OK OK OK OK OK WA OK OK WA WA,0.005,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,276.4705882352941
RMM,Ямбол,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,71.42857142857143,OK OK WA OK OK OK OK WA OK WA WA OK OK OK,0.004,271.4285714285714
GGP,София,80.0,OK OK OK OK OK OK OK TL OK OK OK OK OK OK TL OK OK TL OK TL,N/A,76.47058823529412,OK OK OK OK OK OK OK OK TL TL OK OK OK OK OK TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,256.4705882352941
ATB,Пловдив,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,47.05882352941177,OK WA OK OK WA OK OK OK TL OK WA WA WA OK WA TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,247.05882352941177
CVM,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,17.647058823529413,WA WA OK WA WA WA WA WA WA OK WA WA WA OK WA TL WA,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,217.6470588235294
HDD,Варна,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK,N/A,41.1764705882353,OK WA OK OK WA WA OK OK WA OK WA WA WA OK WA WA WA,0.006,78.57142857142857,RE OK OK OK OK OK OK OK OK OK OK WA OK WA,N/A,214.74789915966386
KKK,София,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK,N/A,17.647058823529413,OK WA OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA,0.005,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,212.6470588235294
KCC,Варна,25.0,OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,64.70588235294119,OK OK TL OK OK OK OK OK TL TL OK OK OK OK TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,189.70588235294116
ANM,Бургас,45.0,OK OK OK OK OK WA WA WA WA OK WA OK WA WA OK WA WA WA TL OK,N/A,82.35294117647058,OK OK OK OK OK OK OK OK TL OK OK OK OK OK OK TL TL,N/A,57.14285714285715,WA OK WA OK WA OK WA WA OK WA OK OK OK OK,0.005,184.49579831932772
VDH,Пловдив,0.0,WA WA RE WA RE WA RE RE WA RE WA WA RE WA WA WA WA WA WA RE,N/A,70.58823529411765,OK OK OK OK OK OK OK OK OK OK WA WA WA OK WA OK WA,0.005,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,170.58823529411762
