Име,Град,Beautiful,Flowers,Sheep,Точки
EID,София,100.0,100.0,100.0,300.0
VBZ,Пловдив,100.0,100.0,100.0,300.0
GIS,Кърджали,100.0,100.0,100.0,300.0
LDT,София,100.0,100.0,100.0,300.0
DIK,Шумен,100.0,100.0,95.0,295.0
MTT,Варна,100.0,100.0,95.0,295.0
DGN,Пловдив,100.0,100.0,95.0,295.0
KVS,София,100.0,100.0,95.0,295.0
BVM,София,95.0,100.0,95.0,290.0
AMG,София,100.0,100.0,85.0,285.0
ISA,София,90.0,100.0,90.0,280.0
MIM,София,100.0,100.0,70.0,270.0
GGS,София,95.0,100.0,75.0,270.0
IVP,Благоевград,95.0,70.0,95.0,260.0
VGN,Шумен,55.0,100.0,95.0,250.0
PKY,София,100.0,100.0,25.0,225.0
TNS,София,95.0,100.0,30.0,225.0
PVM,София,100.0,100.0,20.0,220.0
MNNA,Пловдив,25.0,100.0,95.0,220.0
LG,София,85.0,100.0,35.0,220.0
PIU,Пловдив,50.0,100.0,70.0,220.0
VVB,Пловдив,100.0,100.0,10.0,210.0
VMF,София,100.0,100.0,5.0,205.0
OMY,София,95.0,100.0,10.0,205.0
GGE,Плевен,100.0,100.0,5.0,205.0
KSD,Варна,100.0,100.0,0.0,200.0
LDK,София,100.0,100.0,0.0,200.0
ROP,Варна,100.0,100.0,0.0,200.0
ANY,София,100.0,100.0,0.0,200.0
YHU,София,100.0,100.0,0.0,200.0
GTA,Варна,95.0,100.0,5.0,200.0
APG,Варна,100.0,100.0,0.0,200.0
OBO,София,100.0,100.0,0,200.0
KGE,София,0,100.0,95.0,195.0
ADT,София,95.0,100.0,0.0,195.0
KHK,Варна,95.0,100.0,0.0,195.0
AGM,Варна,95.0,100.0,0.0,195.0
DGJ,София,95.0,100.0,0.0,195.0
ODR,София,95.0,100.0,0,195.0
VNA,София,95.0,100.0,0.0,195.0
SDV,София,95.0,100.0,0.0,195.0
SSI,Благоевград,85.0,100.0,0.0,185.0
NOP,Варна,95.0,90.0,0.0,185.0
VNM,Варна,0,100.0,80.0,180.0
DVN,Благоевград,100.0,70.0,0.0,170.0
BLL,София,100.0,0,65.0,165.0
KKD,София,60.0,0.0,100.0,160.0
LIT,София,60.0,100.0,0,160.0
BHM,София,55.0,100.0,0.0,155.0
BSK,Варна,85.0,70.0,0.0,155.0
DJD,Велико Търново,50.0,100.0,0.0,150.0
KPS,София,40.0,100.0,0.0,140.0
TPD,Благоевград,65.0,75.0,0.0,140.0
LBI,София,40.0,100.0,0,140.0
KKB,София,100.0,35.0,0.0,135.0
ZSI,София,35.0,100.0,0,135.0
NVG,Варна,60.0,70.0,0.0,130.0
DDA,Варна,50.0,70.0,5.0,125.0
IKV,София,55.0,70.0,0.0,125.0
AKAI,София,45.0,60.0,0,105.0
EKM,София,5.0,100.0,0.0,105.0
KTV,Русе,55.0,50.0,0.0,105.0
KAA,Варна,100.0,0.0,0.0,100.0
NVM,Варна,30.0,70.0,0.0,100.0
TBA,София,0,100.0,0,100.0
BIG,София,0,100.0,0.0,100.0
AAK,София,90.0,10.0,0.0,100.0
PIC,София,95.0,0,0.0,95.0
EKT,Русе,95.0,0,0,95.0
AAQ,Пловдив,95.0,0.0,0.0,95.0
GDD,Варна,95.0,0,0,95.0
DIM,София,95.0,0.0,0.0,95.0
BIK,Габрово,95.0,0.0,0.0,95.0
HKA,Варна,50.0,45.0,0.0,95.0
KDN,Пловдив,80.0,0.0,10.0,90.0
DDD,Варна,75.0,15.0,0.0,90.0
KZT,Кърджали,0,70.0,0,70.0
NSG,Пловдив,55.0,5.0,0.0,60.0
YNP,Пловдив,45.0,15.0,0.0,60.0
RKR,Габрово,55.0,0.0,0.0,55.0
CSK,Ловеч,55.0,0.0,0.0,55.0
AKI,София,0.0,50.0,5.0,55.0
VTI,Варна,5.0,45.0,0.0,50.0
GSY,Пловдив,50.0,0.0,0.0,50.0
ACM,Видин,40.0,0,0,40.0
AIP,Видин,40.0,0,0,40.0
NDD,Шумен,20.0,5.0,0.0,25.0
DED,Шумен,0,25.0,0.0,25.0
MBB,София,0,25.0,0,25.0
BAB,Варна,15.0,5.0,0,20.0
EDY,Русе,0,15.0,0,15.0
IIM,Плевен,0.0,15.0,0,15.0
GMS,Варна,10.0,0,0,10.0
PLT,София,10.0,0.0,0.0,10.0
PPM,Русе,5.0,0.0,0.0,5.0
LSN,Варна,5.0,0.0,0,5.0
TII,Плевен,0.0,5.0,0.0,5.0
VIV,Габрово,0,0,5.0,5.0
VDC,Варна,5.0,0.0,0.0,5.0
APK,Пловдив,0.0,5.0,0.0,5.0
TPC,Русе,0,5.0,0,5.0
AAP,Варна,5.0,0.0,0.0,5.0
BVH,София,0,5.0,0.0,5.0
AMG,Варна,0.0,5.0,0.0,5.0
IGP,Пловдив,0,0,0.0,0.0
МКМ,Шумен,0.0,0,0.0,0.0
VNV,Габрово,0.0,0,0,0.0
SGS,Шумен,0.0,0,0,0.0
KMK,Варна,0,0,0.0,0.0
GMY,Плевен,0.0,0.0,0.0,0.0
ANN,София,0,0.0,0.0,0.0
VVG,Варна,0.0,0,0.0,0.0
SSP,Габрово,0.0,0.0,0.0,0.0
KMG,Шумен,0.0,0.0,0.0,0.0
RIS,Габрово,0.0,0,0.0,0.0
GIG,Русе,0,0,0.0,0.0
ASM,Шумен,0.0,0,0,0.0
AYY,Русе,0.0,0,0,0.0
PDK,Пловдив,0,0,0,0
EKM,Плевен,0.0,0.0,0.0,0.0
ABG,Ловеч,0,0.0,0.0,0.0
NKH,Варна,0,0.0,0.0,0.0
KNV,Варна,0,0,0.0,0.0
IAK,Варна,0.0,0,0,0.0
DHD,Габрово,0.0,0.0,0.0,0.0
MGA,Велико Търново,0.0,0,0,0.0
KNM,Видин,0,0,0,0
IIA,Варна,0.0,0.0,0.0,0.0
DKK,Видин,0,0,0,0
