име,град,bin0-score,bin0-verdict,bin0-max-time,palc-score,palc-verdict,palc-max-time,rot-score,rot-verdict,rot-max-time,точки
IGG,Шумен,95.0,OK OK OK OK OK OK OK OK OK OK OK OK TL OK OK OK OK OK OK OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.007,295.0
PIN,Русе,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.006,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.01,295.0
RSD,Пловдив,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.007,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.011,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.018,295.0
IDI,София,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,295.0
ILB,София,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.006,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.014,295.0
AVD,Пловдив,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.008,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.007,290.0
RKC,Варна,95.0,OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,70.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL,N/A,265.0
EEI,Русе,95.0,OK OK OK OK OK OK OK OK OK OK OK OK RE OK OK OK OK OK OK OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,35.0,OK OK OK OK OK OK WA WA WA WA WA WA OK WA WA WA WA WA WA WA,0.02,230.0
ATK,Варна,30.0,RE RE OK RE RE OK RE RE RE RE RE RE RE RE RE OK OK OK RE OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,230.0
DNV,Пловдив,95.0,OK OK OK OK OK OK OK OK OK OK OK OK TL OK OK OK OK OK OK OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,30.0,WA OK WA OK WA WA OK OK WA WA WA WA OK OK WA WA WA WA WA WA,0.013,225.0
VNT,София,5.0,WA WA WA WA WA WA WA OK WA WA WA WA TL WA WA WA WA WA WA WA,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.007,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,205.0
SSP,Стара Загора,45.0,OK OK OK TL TL TL OK OK OK OK OK OK WA WA WA WA WA WA WA WA,N/A,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK,0.005,60.0,OK OK OK OK OK OK OK OK OK OK OK OK WA TL WA WA WA WA WA WA,N/A,200.0
