Име,Град,Bin0,Palc,Rot,Точки
IGG,Шумен,95.0,100.0,100.0,295.0
PIN,Русе,95.0,100.0,100.0,295.0
RSD,Пловдив,95.0,100.0,100.0,295.0
IDI,София,95.0,100.0,100.0,295.0
ILB,София,95.0,100.0,100.0,295.0
AVD,Пловдив,95.0,95.0,100.0,290.0
RKC,Варна,95.0,100.0,70.0,265.0
EEI,Русе,95.0,100.0,35.0,230.0
ATK,Варна,30.0,100.0,100.0,230.0
DNV,Пловдив,95.0,100.0,30.0,225.0
VNT,София,5.0,100.0,100.0,205.0
SSP,Стара Загора,45.0,95.0,60.0,200.0
PGA,Шумен,65.0,95.0,30.0,190.0
IIG,Шумен,70.0,95.0,0.0,165.0
AHH,София,15.0,80.0,60.0,155.0
YAZ,Плевен,25.0,100.0,0.0,125.0
AVG,Хасково,65.0,25.0,35.0,125.0
COT,Габрово,45.0,20.0,55.0,120.0
VIS,Плевен,20.0,60.0,30.0,110.0
HHT,Велико Търново,15.0,95.0,0,110.0
SPT,София,80.0,25.0,0.0,105.0
IAD,София,0.0,0.0,100.0,100.0
AII,Плевен,0,100.0,0,100.0
VPV,Габрово,30.0,0.0,70.0,100.0
BSD,Бургас,0.0,100.0,0,100.0
NMM,Варна,10.0,80.0,10.0,100.0
TTG,Стара Загора,35.0,60.0,0.0,95.0
VVS,Русе,45.0,20.0,30.0,95.0
GBB,Шумен,5.0,80.0,0,85.0
GDG,Габрово,15.0,0,50.0,65.0
BEV,Плевен,30.0,25.0,0.0,55.0
LBS,Бургас,0.0,0.0,55.0,55.0
NBN,София,30.0,20.0,0,50.0
YVL,София,30.0,5.0,5.0,40.0
KCS,Русе,30.0,5.0,0.0,35.0
VGV,Шумен,15.0,20.0,0.0,35.0
ANK,Варна,35.0,0.0,0.0,35.0
IPK,Бургас,35.0,0.0,0,35.0
GGA,София,30.0,0,0,30.0
GMM,Стара Загора,5.0,25.0,0.0,30.0
SYI,Велико Търново,25.0,0.0,0,25.0
KRH,Варна,20.0,0,0,20.0
ADD,Перник,15.0,0.0,0.0,15.0
GAK,Варна,15.0,0.0,0.0,15.0
GDS,Варна,15.0,0.0,0,15.0
IAK,Велико Търново,15.0,0,0.0,15.0
HEB,Хасково,15.0,0.0,0,15.0
NNT,Кюстендил,15.0,0.0,0,15.0
KVP,София,15.0,0,0.0,15.0
HKH,Варна,15.0,0.0,0.0,15.0
GVR,Плевен,15.0,0.0,0.0,15.0
MDK,Варна,15.0,0.0,0.0,15.0
TSD,Бургас,15.0,0.0,0.0,15.0
SBG,Кюстендил,15.0,0,0,15.0
DKV,Плевен,15.0,0.0,0.0,15.0
VDG,Кюстендил,0.0,0,0,0.0
NKN,Варна,0.0,0.0,0,0.0
ZBB,София,0.0,0.0,0.0,0.0
BPV,Плевен,0,0,0,0
AVB,Велико Търново,0.0,0,0,0.0
DIM,Варна,0.0,0.0,0.0,0.0
