Име,Град,Growingbaby,Maze,Palindrome,Точки
MYY,Шумен,100.0,99.99999999999997,99.99999999999999,299.99999999999994
VIK,Русе,100.0,99.99999999999997,99.99999999999999,299.99999999999994
AIT,София,100.0,76.47058823529412,99.99999999999999,276.4705882352941
RMM,Ямбол,100.0,99.99999999999997,71.42857142857143,271.4285714285714
GGP,София,80.0,76.47058823529412,99.99999999999999,256.4705882352941
ATB,Пловдив,100.0,47.05882352941177,99.99999999999999,247.05882352941177
CVM,Варна,100.0,17.647058823529413,99.99999999999999,217.6470588235294
HDD,Варна,95.0,41.1764705882353,78.57142857142857,214.74789915966386
KKK,София,95.0,17.647058823529413,99.99999999999999,212.6470588235294
KCC,Варна,25.0,64.70588235294119,99.99999999999999,189.70588235294116
ANM,Бургас,45.0,82.35294117647058,57.14285714285715,184.49579831932772
VDH,Пловдив,0.0,70.58823529411765,99.99999999999999,170.58823529411762
NMM,Габрово,80.0,64.70588235294119,21.42857142857143,166.1344537815126
RNH,Ямбол,100.0,0,57.14285714285715,157.14285714285717
DMM,Пловдив,25.0,64.70588235294119,57.14285714285715,146.84873949579833
SAM,Варна,20.0,23.529411764705884,99.99999999999999,143.52941176470586
DNN,Варна,0,76.47058823529412,42.85714285714286,119.32773109243698
JAG,София,0.0,5.882352941176471,99.99999999999999,105.88235294117646
VPG,София,25.0,76.47058823529412,0,101.47058823529412
BIG,София,25.0,17.647058823529413,57.14285714285715,99.78991596638656
MDD,София,20.0,0.0,71.42857142857143,91.42857142857143
HTT,Кюстендил,0,23.529411764705884,57.14285714285715,80.67226890756304
DPB,Пловдив,25.0,0,50.00000000000001,75.0
IBN,София,20.0,5.882352941176471,35.714285714285715,61.596638655462186
KBA,София,0,0,57.14285714285715,57.14285714285715
EBH,Шумен,0.0,23.529411764705884,14.285714285714286,37.81512605042017
MDA,Варна,0,0,28.571428571428573,28.571428571428573
VDM,Варна,25.0,0.0,0,25.0
EIS,София,0.0,23.529411764705884,0.0,23.529411764705884
RNK,Варна,0.0,0,21.42857142857143,21.42857142857143
MNY,Русе,0,11.764705882352942,0.0,11.764705882352942
SVK,Кърджали,5.0,0,0.0,5.0
SSK,Велико Търново,0,0.0,0,0.0
MPA,Варна,0,0,0,0
EPV,Добрич,0.0,0.0,0.0,0.0
ZGT,Шумен,0,0,0.0,0.0
