име,град,long-score,long-verdict,long-max-time,sdnf-score,sdnf-verdict,sdnf-max-time,solitaire-score,solitaire-verdict,solitaire-max-time,точки
MOB,Плевен,90.90909090909092,OK OK WA OK OK OK OK OK OK OK OK,0.005,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,285.90909090909093
DDHM,Варна,90.90909090909092,OK OK WA OK OK OK OK OK OK OK OK,0.005,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,285.90909090909093
NNN,Варна,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK,0.005,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,265.0
YPV,София,45.45454545454546,OK OK OK OK WA WA WA WA OK WA WA,0.003,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,240.45454545454547
ADD,София,63.63636363636365,OK OK WA OK OK WA WA WA OK OK OK,0.005,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK RE,N/A,56.25,OK OK OK OK OK TL OK TL TL TL TL OK OK TL TL OK,N/A,214.88636363636365
AIP,Русе,90.90909090909092,OK OK WA OK OK OK OK OK OK OK OK,0.005,65.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL,N/A,56.25,OK OK OK OK OK TL OK TL TL TL TL OK OK TL TL OK,N/A,212.15909090909093
BSS,Варна,81.81818181818183,OK OK WA OK OK OK OK OK WA OK OK,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,211.8181818181818
GNI,София,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK,0.004,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.474,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.007,200.0
YPP,Габрово,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK,0.014,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,200.0
EIR,Габрово,63.63636363636365,OK OK OK OK OK OK WA TL OK TL TL,N/A,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,193.63636363636365
ISP,София,36.36363636363637,OK OK OK OK WA WA WA WA WA WA WA,0.004,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA RE RE RE RE RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,166.36363636363637
DSS,Варна,45.45454545454546,OK OK OK OK WA WA WA WA OK WA WA,0.005,20.0,WA OK OK WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.002,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,165.45454545454547
OBA,Варна,54.545454545454554,OK OK RE OK OK WA WA WA OK WA OK,N/A,15.0,OK OK WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA TL,N/A,93.75,RE OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,N/A,163.29545454545456
AAY,Варна,45.45454545454546,WA OK OK WA OK WA WA WA OK WA OK,0.004,15.0,OK OK OK WA WA WA WA WA WA WA WA WA WA WA RE WA WA WA RE RE,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,160.45454545454547
VYK,Хасково,27.272727272727273,OK OK OK TL TL TL TL TL TL WA TL,N/A,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,157.27272727272728
VIB,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.005,30.0,OK OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.007,157.27272727272728
TGM,София,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.007,30.0,OK OK OK OK OK OK WA WA WA WA TL TL WA TL WA TL WA WA WA TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,157.27272727272728
