Име,Град,Long,Sdnf,Solitaire,Точки
MOB,Плевен,90.90909090909092,95.0,100.0,285.90909090909093
DDHM,Варна,90.90909090909092,95.0,100.0,285.90909090909093
NNN,Варна,100.00000000000001,65.0,100.0,265.0
YPV,София,45.45454545454546,95.0,100.0,240.45454545454547
ADD,София,63.63636363636365,95.0,56.25,214.88636363636365
AIP,Русе,90.90909090909092,65.0,56.25,212.15909090909093
BSS,Варна,81.81818181818183,30.0,100.0,211.8181818181818
GNI,София,100.00000000000001,100.0,0.0,200.0
YPP,Габрово,100.00000000000001,0.0,100.0,200.0
EIR,Габрово,63.63636363636365,30.0,100.0,193.63636363636365
ISP,София,36.36363636363637,30.0,100.0,166.36363636363637
DSS,Варна,45.45454545454546,20.0,100.0,165.45454545454547
OBA,Варна,54.545454545454554,15.0,93.75,163.29545454545456
AAY,Варна,45.45454545454546,15.0,100.0,160.45454545454547
VYK,Хасково,27.272727272727273,30.0,100.0,157.27272727272728
VIB,София,27.272727272727273,30.0,100.0,157.27272727272728
TGM,София,27.272727272727273,30.0,100.0,157.27272727272728
MND,София,100.00000000000001,30.0,25.0,155.0
KKT,Варна,63.63636363636365,90.0,0.0,153.63636363636365
ASS,Варна,27.272727272727273,65.0,56.25,148.52272727272728
KAD,София,18.181818181818183,30.0,100.0,148.1818181818182
YBE,Плевен,27.272727272727273,15.0,100.0,142.27272727272728
DTP,Плевен,18.181818181818183,20.0,100.0,138.1818181818182
MEI,Варна,27.272727272727273,10.0,100.0,137.27272727272728
DYS,Варна,27.272727272727273,90.0,18.75,136.02272727272728
FAA,Хасково,0.0,30.0,100.0,130.0
MMK,Плевен,27.272727272727273,0.0,100.0,127.27272727272728
VLA,Плевен,27.272727272727273,30.0,68.75,126.02272727272728
YRV,Плевен,27.272727272727273,90.0,0.0,117.27272727272728
DPK,Габрово,81.81818181818183,30.0,0.0,111.81818181818183
ISL,Варна,0.0,30.0,81.25,111.25
MJD,Варна,36.36363636363637,30.0,43.75,110.11363636363637
SIS,Варна,27.272727272727273,30.0,50.0,107.27272727272728
VPM,Благоевград,27.272727272727273,15.0,56.25,98.52272727272728
ZSK,Плевен,27.272727272727273,30.0,37.5,94.77272727272728
IIP,София,27.272727272727273,30.0,37.5,94.77272727272728
DND,София,27.272727272727273,30.0,37.5,94.77272727272728
DRP,София,9.090909090909092,30.0,50.0,89.0909090909091
YRS,София,36.36363636363637,0,50.0,86.36363636363637
KNA,Плевен,36.36363636363637,30.0,18.75,85.11363636363637
VBM,София,27.272727272727273,30.0,25.0,82.27272727272728
SYD,София,9.090909090909092,15.0,56.25,80.3409090909091
OYM,София,27.272727272727273,30.0,18.75,76.02272727272728
MGM,Пловдив,18.181818181818183,0.0,56.25,74.43181818181819
YCH,София,27.272727272727273,25.0,18.75,71.02272727272728
DMK,Варна,18.181818181818183,30.0,18.75,66.93181818181819
SPD,Пазарджик,36.36363636363637,30.0,0,66.36363636363637
GTK,Пловдив,27.272727272727273,30.0,6.25,63.52272727272727
EEB,София,27.272727272727273,30.0,6.25,63.52272727272727
MPM,Стара Загора,27.272727272727273,30.0,0,57.27272727272727
VGN,Варна,27.272727272727273,30.0,0,57.27272727272727
MSK,Ямбол,27.272727272727273,30.0,0.0,57.27272727272727
VSS,Русе,27.272727272727273,30.0,0.0,57.27272727272727
AVT,Плевен,27.272727272727273,30.0,0.0,57.27272727272727
VAK,Пловдив,27.272727272727273,30.0,0,57.27272727272727
NTC,София,27.272727272727273,30.0,0,57.27272727272727
TCT,София,27.272727272727273,30.0,0,57.27272727272727
FSK,Ямбол,27.272727272727273,30.0,0,57.27272727272727
BCS,Шумен,27.272727272727273,30.0,0,57.27272727272727
BDD,София,27.272727272727273,30.0,0.0,57.27272727272727
EBD,София,27.272727272727273,30.0,0.0,57.27272727272727
MVK,Пловдив,36.36363636363637,20.0,0.0,56.36363636363637
GND,Варна,27.272727272727273,15.0,12.5,54.77272727272727
NDD,София,27.272727272727273,15.0,12.5,54.77272727272727
PDI,София,27.272727272727273,25.0,0,52.27272727272727
DNN,Стара Загора,18.181818181818183,30.0,0.0,48.18181818181819
PSS,София,27.272727272727273,20.0,0.0,47.27272727272727
MPP,Варна,9.090909090909092,30.0,0,39.09090909090909
GIB,София,36.36363636363637,0,0.0,36.36363636363637
MBD,София,18.181818181818183,15.0,0.0,33.18181818181819
VGH,София,18.181818181818183,15.0,0,33.18181818181819
HDs,Шумен,27.272727272727273,5.0,0.0,32.27272727272727
MRY,Плевен,0.0,30.0,0.0,30.0
SIS,Шумен,0.0,30.0,0.0,30.0
ADI,София,27.272727272727273,0.0,0.0,27.272727272727273
EPP,Плевен,27.272727272727273,0,0,27.272727272727273
JGD,Шумен,27.272727272727273,0.0,0,27.272727272727273
RDG,Шумен,27.272727272727273,0.0,0,27.272727272727273
MII,Плевен,27.272727272727273,0,0,27.272727272727273
MMP,София,27.272727272727273,0.0,0,27.272727272727273
DGB,Перник,0.0,25.0,0.0,25.0
TSP,Плевен,9.090909090909092,15.0,0.0,24.090909090909093
RLB,София,0,20.0,0,20.0
VDV,Шумен,0,15.0,0,15.0
PRD,Варна,0,0.0,12.5,12.5
DRT,София,9.090909090909092,0.0,0,9.090909090909092
YPY,Шумен,0.0,5.0,0.0,5.0
VJI,София,0.0,0.0,0.0,0.0
ABH,Шумен,0,0,0,0
VMM,Шумен,0,0.0,0,0.0
KMB,Плевен,0,0,0,0
AAH,Шумен,0,0.0,0,0.0
AIK,София,0.0,0,0,0.0
ADD,Плевен,0,0.0,0,0.0
LIK,Плевен,0.0,0.0,0.0,0.0
MJJ,Шумен,0.0,0.0,0,0.0
