име,град,beautiful-score,beautiful-verdict,beautiful-max-time,flowers-score,flowers-verdict,flowers-max-time,sheep-score,sheep-verdict,sheep-max-time,точки
EID,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.431,300.0
VBZ,Пловдив,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.414,300.0
GIS,Кърджали,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.11,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.007,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.285,300.0
LDT,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.267,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.447,300.0
DIK,Шумен,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.111,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK,0.353,295.0
MTT,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.165,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK OK OK OK OK,N/A,295.0
DGN,Пловдив,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK OK OK OK OK,N/A,295.0
KVS,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK OK OK OK OK,N/A,295.0
BVM,София,95.0,OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK,0.004,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.007,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK OK OK OK OK,N/A,290.0
AMG,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.109,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,85.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL OK OK TL OK OK,N/A,285.0
ISA,София,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL OK OK OK OK OK,N/A,280.0
MIM,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.108,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,70.0,OK OK OK OK OK OK OK OK OK WA OK WA OK WA WA OK OK WA OK WA,0.193,270.0
GGS,София,95.0,RE OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,75.0,OK OK OK OK OK OK OK OK OK WA OK WA OK OK WA OK OK WA OK WA,0.199,270.0
IVP,Благоевград,95.0,OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK,0.108,70.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA WA WA WA WA,0.005,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK OK OK OK OK,N/A,260.0
VGN,Шумен,55.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL OK TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL OK OK OK OK OK,N/A,250.0
