име,град,beatle-score,beatle-verdict,beatle-max-time,composites-score,composites-verdict,composites-max-time,trams-score,trams-verdict,trams-max-time,точки
MDK,Габрово,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.081,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.067,299.9999999999999
RSD,Пловдив,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.101,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.102,299.9999999999999
PIN,Русе,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.125,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,95.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK,0.145,294.9999999999999
VIK,Русе,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.204,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,70.0,OK WA OK OK OK OK OK OK TL OK OK TL OK OK OK OK TL OK TL TL,N/A,269.9999999999999
SIT,София,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.061,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,55.0,OK WA OK OK WA OK WA OK OK OK TL WA OK OK OK TL WA OK TL TL,N/A,254.99999999999991
ANK,Варна,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.183,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,55.0,OK WA OK OK WA OK WA OK RE RE OK RE OK OK RE OK RE OK OK TL,N/A,254.99999999999991
AGR,София,48.83720930232556,OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK WA WA WA WA OK OK WA WA OK WA OK WA WA OK WA OK WA OK WA WA WA WA WA WA WA WA WA WA,0.14,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,95.0,OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.13,243.83720930232556
AAG,Ямбол,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.103,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,30.0,OK WA WA OK WA OK WA OK TL WA TL TL OK WA WA OK TL WA TL TL,N/A,229.99999999999991
RYA,Варна,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.148,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,15.0,RE RE RE RE OK RE RE RE RE RE RE OK RE RE OK RE RE RE RE RE,N/A,214.99999999999991
AVD,Пловдив,99.99999999999991,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.102,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,5.0,TL WA TL TL TL WA OK TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,204.99999999999991
