име,град,eksk-score,eksk-verdict,eksk-max-time,estet-score,estet-verdict,estet-max-time,restruct-score,restruct-verdict,restruct-max-time,точки
RMM,Ямбол,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.16,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.029,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.577,300.0
DVB,Габрово,97.5,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.165,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.035,94.44444444444446,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL,N/A,291.94444444444446
GGP,София,82.5,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA OK WA OK WA OK OK OK OK OK WA WA OK OK OK WA,0.18,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.085,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.498,282.5
AIT,София,80.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK OK WA OK OK WA WA WA OK WA WA,0.17,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.092,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.637,280.0
SDM,Хасково,62.5,OK OK OK OK OK OK OK OK WA OK WA OK OK OK OK OK OK OK OK OK OK OK TL OK WA WA WA OK WA WA WA WA WA OK TL WA TL OK WA OK,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.038,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.578,262.5
YBI,София,72.5,OK OK OK OK OK WA OK OK WA WA WA WA OK OK OK OK OK OK OK WA WA WA OK WA OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK WA,0.207,43.478260869565226,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.522,215.97826086956525
BNS,Смолян,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.152,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.065,0.0,RE RE RE RE WA RE RE TL TL TL TL TL TL RE RE RE TL TL,N/A,199.99999999999997
CVM,Варна,80.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL TL TL TL TL TL OK OK OK OK OK OK OK,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.023,5.555555555555555,WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.009,185.55555555555551
MYY,Шумен,30.0,OK OK OK OK OK OK OK OK WA WA WA OK WA OK OK WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.227,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.099,50.00000000000001,OK OK WA WA WA OK WA WA OK WA OK OK OK WA WA WA OK OK,0.788,179.99999999999997
DPT,Велико Търново,80.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL OK TL TL TL TL TL TL OK OK OK OK OK OK OK,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.02,88.8888888888889,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL,N/A,168.8888888888889
