име,град,grip-score,grip-verdict,grip-max-time,sequence-score,sequence-verdict,sequence-max-time,square-score,square-verdict,square-max-time,точки
ROP,Варна,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK,0.008,300.0
VNM,Варна,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK,0.005,300.0
DIK,Шумен,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,227.27272727272728
BVM,София,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,227.27272727272728
VBZ,Пловдив,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.01,27.272727272727273,OK OK OK WA WA WA WA WA WA WA WA,0.032,227.27272727272728
KGE,София,26.666666666666668,WA WA WA WA WA OK WA WA WA OK OK WA WA OK WA,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK,0.006,226.66666666666666
ISA,София,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,9.090909090909092,OK TL TL TL TL TL TL TL TL TL TL,N/A,209.0909090909091
VGN,Шумен,80.0,OK OK OK OK OK WA OK OK OK OK OK OK OK WA WA,0.006,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,207.27272727272725
AMG,София,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,200.0
GGS,София,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,0.0,RE RE RE RE RE RE RE RE RE RE RE,N/A,200.0
KVS,София,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.005,200.0
APG,Варна,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,70.58823529411765,OK OK WA OK WA OK WA OK OK OK OK WA WA OK OK OK OK,0.005,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,197.86096256684496
MTT,Варна,40.0,WA WA OK WA OK OK WA WA WA WA OK OK WA OK WA,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,36.36363636363637,WA OK WA WA WA OK OK WA OK WA WA,0.005,176.36363636363635
AKAI,София,73.33333333333333,WA OK OK WA OK OK WA OK OK WA OK OK OK OK OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.004,173.33333333333331
AGM,Варна,53.33333333333333,OK WA OK WA OK OK WA WA WA OK OK OK WA OK WA,0.005,17.647058823529413,OK OK OK WA RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK,0.005,170.98039215686276
NOP,Варна,86.66666666666667,OK OK OK OK WA OK OK OK OK OK OK OK WA OK OK,0.005,41.1764705882353,OK OK OK OK OK OK TL TL TL OK TL TL TL TL TL TL TL,N/A,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,155.11586452762924
YHU,София,20.0,WA WA WA WA OK OK WA WA WA WA WA WA WA WA OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,147.27272727272725
DGY,София,33.333333333333336,WA WA WA WA OK OK WA WA WA WA OK OK OK WA WA,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.011,9.090909090909092,OK WA WA TL TL TL TL TL TL WA WA,N/A,142.4242424242424
PIU,Пловдив,40.0,WA WA OK OK WA OK WA WA WA WA OK OK WA OK WA,0.005,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK,0.006,140.0
ADT,София,59.99999999999999,WA WA OK OK OK OK OK WA WA OK OK OK WA OK WA,0.006,35.294117647058826,OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL,N/A,27.272727272727273,OK OK OK TL TL TL TL TL TL TL TL,N/A,122.56684491978609
DDA,Варна,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,18.181818181818183,OK OK TL TL TL TL TL TL TL TL TL,N/A,118.18181818181816
KHK,Варна,66.66666666666666,OK WA OK OK OK OK OK WA WA WA OK OK WA OK OK,0.005,47.05882352941177,OK OK OK OK OK OK WA WA WA OK OK WA WA WA WA WA WA,0.005,0.0,WA WA WA TL TL TL TL TL TL TL TL,N/A,113.72549019607843
BIG,София,40.0,WA WA WA WA OK OK WA WA WA WA OK WA OK OK OK,0.006,70.58823529411765,OK OK WA OK WA OK WA OK OK OK OK WA WA OK OK OK OK,0.007,0.0,WA WA WA WA WA WA WA WA WA WA WA,0.006,110.58823529411765
KKD,София,0,Compilation error,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.067,9.090909090909092,OK WA WA WA WA WA WA WA WA WA WA,0.313,109.09090909090907
DVN,Благоевград,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,88.23529411764704,OK OK WA OK OK OK WA OK OK OK OK OK OK OK OK OK OK,0.007,18.181818181818183,OK OK WA TL TL TL TL TL TL TL TL,N/A,106.41711229946523
IVP,Благоевград,80.0,OK WA OK OK OK OK WA WA OK OK OK OK OK OK OK,0.005,5.882352941176471,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,18.181818181818183,OK OK WA WA WA WA WA WA WA WA WA,0.043,104.06417112299465
