име,град,cred-score,cred-verdict,cred-max-time,odd-score,odd-verdict,odd-max-time,sequence-score,sequence-verdict,sequence-max-time,точки
VNF,Плевен,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.027,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,299.99999999999994
OBO,София,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,299.99999999999994
VKV,Плевен,88.23529411764704,OK WA OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.023,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,288.235294117647
BID,София,82.35294117647058,OK WA WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.011,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,282.35294117647055
MNN,Хасково,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,69.23076923076923,OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,269.23076923076917
VDB,Хасково,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,61.53846153846154,OK OK OK OK OK OK OK OK TL TL TL TL TL,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,261.5384615384615
KDT,София,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,30.76923076923077,OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.007,230.76923076923072
DYA,София,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,30.76923076923077,OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,230.76923076923072
VBC,София,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,30.76923076923077,OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,230.76923076923072
BSK,Варна,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,30.76923076923077,OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,230.76923076923072
