име,град,alt-score,alt-verdict,alt-max-time,m3-score,m3-verdict,m3-max-time,power-score,power-verdict,power-max-time,точки
MOB,Плевен,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.00000000000018,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.012,300.0000000000002
DTP,Плевен,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.00000000000018,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,300.0000000000002
BIG,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.00000000000018,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,300.0000000000002
DDHM,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.00000000000018,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,300.0000000000002
JPP,Габрово,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,98.88888888888907,OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,298.88888888888914
YRV,Плевен,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,96.66666666666684,OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.007,296.6666666666669
IBN,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.006,74.44444444444456,OK OK WA OK OK OK OK OK OK OK OK OK WA WA WA WA OK OK OK OK OK OK OK OK WA WA WA OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK OK WA WA OK OK WA WA OK OK OK OK OK OK WA WA WA WA WA WA OK OK WA OK OK OK WA OK OK,0.006,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,274.4444444444446
ADD,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,80.00000000000013,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL OK OK OK OK TL TL TL OK TL TL OK OK OK OK TL OK TL TL TL TL TL OK OK TL TL TL,N/A,78.94736842105266,WA WA OK OK OK WA OK WA OK OK OK OK OK OK OK OK OK OK OK,0.007,258.9473684210528
MMK,Плевен,92.3076923076923,OK OK OK OK OK OK OK OK OK OK OK WA OK,0.005,87.77777777777793,OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK WA OK OK OK OK OK WA WA OK OK OK OK OK OK OK WA WA OK WA WA WA OK OK OK OK OK OK WA OK,0.005,36.8421052631579,OK OK OK WA OK OK OK OK WA WA WA WA WA TL TL WA WA TL WA,N/A,216.92757534862812
ISL,Варна,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,16.666666666666664,OK WA WA WA OK WA WA OK WA WA WA WA WA WA WA WA WA WA OK OK OK OK WA WA WA WA WA WA WA WA OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA OK OK OK WA WA OK WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.006,100.00000000000006,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.013,216.6666666666667
