Име,Град,Alt,M3,Power,Точки
MOB,Плевен,100.0,100.00000000000018,100.00000000000006,300.0000000000002
DTP,Плевен,100.0,100.00000000000018,100.00000000000006,300.0000000000002
BIG,София,100.0,100.00000000000018,100.00000000000006,300.0000000000002
DDHM,Варна,100.0,100.00000000000018,100.00000000000006,300.0000000000002
JPP,Габрово,100.0,98.88888888888907,100.00000000000006,298.88888888888914
YRV,Плевен,100.0,96.66666666666684,100.00000000000006,296.6666666666669
IBN,София,100.0,74.44444444444456,100.00000000000006,274.4444444444446
ADD,София,100.0,80.00000000000013,78.94736842105266,258.9473684210528
MMK,Плевен,92.3076923076923,87.77777777777793,36.8421052631579,216.92757534862812
ISL,Варна,100.0,16.666666666666664,100.00000000000006,216.6666666666667
BSS,Варна,92.3076923076923,23.33333333333333,100.00000000000006,215.6410256410257
VPG,София,100.0,77.7777777777779,36.8421052631579,214.61988304093578
TGM,София,23.076923076923077,87.77777777777793,100.00000000000006,210.85470085470106
EID,София,100.0,61.111111111111185,47.36842105263158,208.4795321637428
DYS,Варна,7.6923076923076925,100.00000000000018,100.00000000000006,207.69230769230793
GNI,София,23.076923076923077,83.33333333333347,100.00000000000006,206.4102564102566
VYK,Хасково,23.076923076923077,78.88888888888901,100.00000000000006,201.96581196581215
ISP,София,100.0,98.88888888888907,0,198.88888888888908
TCT,София,100.0,67.77777777777787,5.2631578947368425,173.04093567251473
NNN,Варна,23.076923076923077,55.555555555555614,78.94736842105266,157.57984705353135
KAD,София,100.0,25.55555555555555,31.578947368421055,157.13450292397658
EIR,Габрово,0.0,94.44444444444461,57.89473684210527,152.3391812865499
KKT,Варна,53.84615384615385,77.7777777777779,15.789473684210527,147.41340530814227
DMK,Варна,0.0,46.6666666666667,100.00000000000006,146.66666666666674
DPK,Габрово,15.384615384615385,94.44444444444461,31.578947368421055,141.40800719748106
MIK,Шумен,100.0,0.0,31.578947368421055,131.57894736842104
MBD,София,0.0,96.66666666666684,31.578947368421055,128.2456140350879
MGM,Пловдив,23.076923076923077,97.77777777777796,5.2631578947368425,126.11785874943789
YPV,София,100.0,0.0,21.05263157894737,121.05263157894737
GIB,София,23.076923076923077,86.66666666666681,10.526315789473685,120.26990553306358
MVK,Пловдив,15.384615384615385,76.66666666666679,26.315789473684212,118.36707152496638
AAY,Варна,53.84615384615385,58.88888888888896,5.2631578947368425,117.99820062977966
VBM,София,15.384615384615385,0,100.00000000000006,115.38461538461544
FAA,Хасково,23.076923076923077,92.22222222222238,0.0,115.29914529914547
DDT,Благоевград,46.15384615384615,57.77777777777784,10.526315789473685,114.45793972109767
SIS,Шумен,100.0,0,0.0,100.0
YBE,Плевен,7.6923076923076925,91.11111111111127,0.0,98.80341880341896
KNA,Плевен,0.0,94.44444444444461,0,94.44444444444461
MEI,Варна,0.0,75.55555555555567,5.2631578947368425,80.8187134502925
YRS,София,0.0,62.2222222222223,15.789473684210527,78.01169590643283
AIP,Русе,23.076923076923077,21.111111111111107,26.315789473684212,70.5038236617184
OBA,Варна,23.076923076923077,0,47.36842105263158,70.44534412955466
FSK,Ямбол,0,68.88888888888899,0.0,68.88888888888899
HMI,Бургас,0.0,52.22222222222227,10.526315789473685,62.748538011695956
MII,Плевен,0.0,31.111111111111104,31.578947368421055,62.690058479532155
MPM,Стара Загора,0.0,33.33333333333333,21.05263157894737,54.3859649122807
GND,Варна,0,40.000000000000014,0.0,40.000000000000014
SIS,Варна,0.0,22.222222222222218,10.526315789473685,32.7485380116959
ADI,София,23.076923076923077,3.3333333333333335,5.2631578947368425,31.67341430499325
ISS,Пловдив,0.0,8.888888888888888,21.05263157894737,29.941520467836256
GKK,Бургас,23.076923076923077,0.0,0.0,23.076923076923077
VPM,София,0.0,21.111111111111107,0.0,21.111111111111107
BCG,София,0.0,21.111111111111107,0.0,21.111111111111107
SYD,София,15.384615384615385,0.0,5.2631578947368425,20.64777327935223
DSS,Варна,0.0,14.444444444444441,5.2631578947368425,19.707602339181285
AVT,Плевен,0,0.0,10.526315789473685,10.526315789473685
NDD,София,0.0,8.888888888888888,0.0,8.888888888888888
HDS,Шумен,7.6923076923076925,0,0.0,7.6923076923076925
IIN,Пловдив,0.0,0.0,5.2631578947368425,5.2631578947368425
ZNE,Велико Търново,0.0,0,5.2631578947368425,5.2631578947368425
MSK,Ямбол,0.0,0.0,0.0,0.0
JGD,Шумен,0.0,0,0.0,0.0
RDG,Шумен,0.0,0.0,0.0,0.0
ASS,Бургас,0.0,0.0,0,0.0
VAK,Пловдив,0,0,0.0,0.0
