Име,Град,Cred,Odd,Sequence,Точки
VNF,Плевен,99.99999999999997,100.0,99.99999999999997,299.99999999999994
OBO,София,99.99999999999997,100.0,99.99999999999997,299.99999999999994
VKV,Плевен,88.23529411764704,100.0,99.99999999999997,288.235294117647
BID,София,82.35294117647058,100.0,99.99999999999997,282.35294117647055
MNN,Хасково,99.99999999999997,69.23076923076923,99.99999999999997,269.23076923076917
VDB,Хасково,99.99999999999997,61.53846153846154,99.99999999999997,261.5384615384615
KDT,София,99.99999999999997,30.76923076923077,99.99999999999997,230.76923076923072
DYA,София,99.99999999999997,30.76923076923077,99.99999999999997,230.76923076923072
VBC,София,99.99999999999997,30.76923076923077,99.99999999999997,230.76923076923072
BSK,Варна,99.99999999999997,30.76923076923077,99.99999999999997,230.76923076923072
ABK,София,99.99999999999997,30.76923076923077,99.99999999999997,230.76923076923072
DIM,София,82.35294117647058,46.15384615384615,99.99999999999997,228.5067873303167
EDY,Русе,82.35294117647058,30.76923076923077,99.99999999999997,213.12217194570133
GSN,София,99.99999999999997,69.23076923076923,35.294117647058826,204.524886877828
AMM,София,0,100.0,99.99999999999997,199.99999999999997
EID,Пловдив,99.99999999999997,0.0,99.99999999999997,199.99999999999994
ENV,Пловдив,99.99999999999997,0.0,99.99999999999997,199.99999999999994
DHD,Габрово,99.99999999999997,0.0,99.99999999999997,199.99999999999994
VSP,Пловдив,82.35294117647058,0.0,99.99999999999997,182.35294117647055
SLP,София,82.35294117647058,0.0,99.99999999999997,182.35294117647055
EKM,София,82.35294117647058,46.15384615384615,35.294117647058826,163.80090497737558
EAG,София,0.0,61.53846153846154,99.99999999999997,161.53846153846152
ZSN,Шумен,88.23529411764704,30.76923076923077,41.1764705882353,160.18099547511312
LIV,София,47.05882352941177,7.6923076923076925,99.99999999999997,154.75113122171945
AAA,Варна,76.47058823529412,30.76923076923077,47.05882352941177,154.29864253393666
KRS,София,23.529411764705884,30.76923076923077,99.99999999999997,154.29864253393663
KIP,София,99.99999999999997,7.6923076923076925,41.1764705882353,148.86877828054295
MGG,София,99.99999999999997,0,47.05882352941177,147.05882352941174
RSI,София,11.764705882352942,30.76923076923077,99.99999999999997,142.5339366515837
PMT,Русе,41.1764705882353,0.0,99.99999999999997,141.17647058823528
VJJ,Пловдив,29.411764705882355,7.6923076923076925,99.99999999999997,137.10407239819003
SNH,Шумен,5.882352941176471,30.76923076923077,99.99999999999997,136.6515837104072
KTV,Русе,5.882352941176471,30.76923076923077,99.99999999999997,136.6515837104072
VAN,София,99.99999999999997,30.76923076923077,0.0,130.76923076923075
KAK,Пловдив,29.411764705882355,0.0,99.99999999999997,129.41176470588232
LSI,София,17.647058823529413,0.0,99.99999999999997,117.64705882352939
AIH,София,82.35294117647058,30.76923076923077,0.0,113.12217194570135
NHI,Шумен,23.529411764705884,30.76923076923077,47.05882352941177,101.35746606334843
SMM2,Варна,0,0,99.99999999999997,99.99999999999997
DAR,София,0.0,0.0,99.99999999999997,99.99999999999997
DMS,София,0.0,0.0,99.99999999999997,99.99999999999997
KDS,Пловдив,99.99999999999997,0,0.0,99.99999999999997
MPA,Враца,99.99999999999997,0.0,0.0,99.99999999999997
KVN,София,0.0,0.0,99.99999999999997,99.99999999999997
KII,Плевен,0.0,0.0,99.99999999999997,99.99999999999997
RGL,Варна,0,0.0,99.99999999999997,99.99999999999997
ADS,София,47.05882352941177,0,47.05882352941177,94.11764705882354
SIP,София,82.35294117647058,0.0,0,82.35294117647058
RMR,Плевен,82.35294117647058,0.0,0.0,82.35294117647058
KVK,София,0.0,30.76923076923077,47.05882352941177,77.82805429864254
LDN,Варна,0.0,30.76923076923077,47.05882352941177,77.82805429864254
IAD,София,0.0,30.76923076923077,35.294117647058826,66.0633484162896
YCC,София,35.294117647058826,30.76923076923077,0.0,66.0633484162896
APA,Варна,17.647058823529413,0,47.05882352941177,64.70588235294119
HIT,Габрово,17.647058823529413,0.0,47.05882352941177,64.70588235294119
AVS,Варна,64.70588235294119,0.0,0,64.70588235294119
VYV,София,5.882352941176471,0.0,47.05882352941177,52.94117647058824
QIQ,Велико Търново,0.0,0,47.05882352941177,47.05882352941177
DBN,Плевен,0.0,0,47.05882352941177,47.05882352941177
PPP,Стара Загора,0.0,0.0,47.05882352941177,47.05882352941177
AVD,Пловдив,0.0,0.0,47.05882352941177,47.05882352941177
PPV,Варна,0.0,0,47.05882352941177,47.05882352941177
KIV,Варна,5.882352941176471,30.76923076923077,0.0,36.65158371040724
VSH,София,5.882352941176471,30.76923076923077,0.0,36.65158371040724
RIAI,София,0.0,30.76923076923077,0.0,30.76923076923077
KKM,Плевен,0.0,30.76923076923077,0.0,30.76923076923077
DDB,Пловдив,0.0,30.76923076923077,0,30.76923076923077
BDH,Благоевград,17.647058823529413,0.0,11.764705882352942,29.411764705882355
BIY,Благоевград,17.647058823529413,0.0,11.764705882352942,29.411764705882355
GGT,Благоевград,17.647058823529413,0.0,11.764705882352942,29.411764705882355
DIG,Благоевград,17.647058823529413,0.0,11.764705882352942,29.411764705882355
ANY,София,0.0,7.6923076923076925,11.764705882352942,19.457013574660635
VAR,Плевен,5.882352941176471,0.0,11.764705882352942,17.647058823529413
SDI,Бургас,17.647058823529413,0.0,0.0,17.647058823529413
ANT,Пловдив,11.764705882352942,0.0,0,11.764705882352942
KGK,Плевен,5.882352941176471,0.0,0.0,5.882352941176471
MAD,Ямбол,5.882352941176471,0,0,5.882352941176471
