име,град,red-score,red-verdict,red-max-time,sort-score,sort-verdict,sort-max-time,winter-score,winter-verdict,winter-max-time,точки
DPT,Велико Търново,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.095,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.022,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.226,300.0
BEI,Русе,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.111,84.61538461538461,OK OK OK OK OK OK OK OK TL TL OK OK OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.156,284.61538461538464
SDM,Хасково,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.181,84.61538461538461,OK OK OK OK OK OK OK OK WA WA OK OK OK,0.034,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.206,284.61538461538464
DRD,Ямбол,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.071,84.61538461538461,OK OK OK OK OK OK OK OK TL TL OK OK OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.286,284.61538461538464
AIT,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.112,84.61538461538461,OK OK OK OK OK OK OK OK TL RE OK OK OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.155,284.61538461538464
STchN,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.049,84.61538461538461,OK OK OK OK OK OK OK OK TL TL OK OK OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.195,284.61538461538464
DVB,Габрово,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.09,76.92307692307692,OK OK OK OK OK OK OK OK RE RE OK OK WA,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.246,276.9230769230769
BNS,Смолян,90.0,OK OK WA OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK,0.227,84.61538461538461,OK OK OK OK OK OK OK OK TL TL OK OK OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.297,274.61538461538464
MDK,Габрово,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.104,84.61538461538461,OK OK OK OK OK OK OK OK TL TL OK OK OK,N/A,80.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA,0.155,264.61538461538464
YBI,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.154,84.61538461538461,OK OK OK OK OK OK OK OK TL TL OK OK OK,N/A,70.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL,N/A,254.6153846153846
IYK,Варна,70.0,OK TL OK OK OK TL TL OK OK OK OK OK OK OK OK TL TL OK TL OK,N/A,76.92307692307692,OK OK OK OK OK OK OK OK RE RE OK OK WA,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.247,246.9230769230769
RYA,Варна,65.0,OK OK OK WA WA WA WA OK OK OK OK OK OK OK OK WA WA OK WA OK,0.15,84.61538461538461,OK OK OK OK OK OK OK OK TL TL OK OK OK,N/A,70.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL,N/A,219.6153846153846
AAG,Ямбол,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.063,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK,0.026,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,200.0
SIN,Плевен,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.164,84.61538461538461,OK OK OK OK OK OK OK OK TL TL OK OK OK,N/A,15.0,OK WA WA WA WA OK WA WA OK WA WA WA WA WA WA WA TL TL TL WA,N/A,199.6153846153846
SIT,София,65.0,OK OK OK WA WA WA WA OK OK OK OK OK OK OK OK WA WA OK WA OK,0.054,30.76923076923077,WA WA OK WA WA WA WA WA WA WA OK OK OK,0.017,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.24,195.76923076923077
AGR,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.073,84.61538461538461,OK OK OK OK OK OK OK OK TL TL OK OK OK,N/A,0.0,RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE RE,N/A,184.6153846153846
PVD,Габрово,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.075,84.61538461538461,OK OK OK OK OK OK OK OK WA WA OK OK OK,0.065,0,Compilation error,N/A,184.6153846153846
IMS,София,70.0,OK TL OK OK OK TL TL OK OK OK OK OK OK OK OK TL TL OK TL OK,N/A,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.025,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL OK OK,N/A,183.0769230769231
FTI,Шумен,70.0,OK TL OK OK OK TL TL OK OK OK OK OK OK OK OK TL TL OK TL OK,N/A,23.076923076923077,WA WA WA WA WA WA WA WA WA WA OK OK OK,0.065,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL OK OK,N/A,183.0769230769231
DYO,Варна,90.0,OK OK OK OK OK OK WA OK OK OK OK OK OK OK OK OK WA OK OK OK,0.072,76.92307692307692,OK OK OK OK OK OK OK OK RE WA OK OK WA,N/A,15.0,WA OK OK WA OK WA WA WA WA WA TL TL TL TL RE RE RE RE RE RE,N/A,181.9230769230769
AIC,София,75.0,OK OK WA OK WA OK WA OK OK OK OK OK OK OK WA OK WA OK OK OK,0.119,46.15384615384615,WA WA OK OK OK OK OK WA TL TL OK TL TL,N/A,60.0,OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL,N/A,181.15384615384616
DAC,Пловдив,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.303,30.76923076923077,OK WA WA WA WA WA WA WA TL TL OK OK OK,N/A,50.0,OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL RE RE RE RE RE,N/A,180.76923076923077
SNB,Шумен,40.0,WA RE WA WA WA RE RE OK OK OK OK OK OK OK WA RE RE WA RE OK,N/A,38.46153846153846,OK WA WA WA OK WA WA WA TL TL OK OK OK,N/A,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK OK,0.379,168.46153846153845
