име,град,brackets-score,brackets-verdict,brackets-max-time,double-score,double-verdict,double-max-time,ucongruence-score,ucongruence-verdict,ucongruence-max-time,точки
RMM,Ямбол,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.011,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.032,20.0,OK WA WA OK WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA,0.318,220.0
KKK,София,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.02,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.04,20.0,OK WA WA OK WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA,0.322,220.0
VDH,Пловдив,5.0,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.022,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.02,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.241,205.0
ISL,Варна,0.0,WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,83.33333333333333,WA WA OK OK OK OK OK OK OK OK OK OK,0.004,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.369,183.33333333333331
CVM,Варна,50.0,OK OK WA OK WA WA OK OK WA OK WA OK WA OK OK WA OK WA WA WA,0.01,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.004,30.0,OK OK OK OK TL TL OK OK TL TL TL TL TL TL TL TL TL TL TL TL,N/A,180.0
ATB,Пловдив,5.0,WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.009,50.00000000000001,OK OK OK TL OK OK TL TL TL TL TL OK,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.226,155.0
GGP,София,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.011,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.026,20.0,OK WA WA OK WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA,0.233,135.0
NMM,Габрово,20.0,OK OK WA OK WA WA OK TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.023,10.0,OK WA WA WA WA WA WA OK TL TL WA WA TL WA WA WA WA WA WA WA,N/A,130.0
IBN,София,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.016,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.014,10.0,WA WA WA WA WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA,0.227,124.99999999999999
BIG,София,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.013,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.019,10.0,OK WA WA TL WA WA OK TL WA WA TL WA WA WA WA WA WA WA WA WA,N/A,124.99999999999999
DNN,Варна,10.0,OK OK WA WA WA WA WA TL WA WA WA WA WA TL TL TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.043,10.0,OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA,0.225,119.99999999999999
DPB,Пловдив,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.02,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.016,5.0,OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.356,119.99999999999999
YRV,Плевен,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.015,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.064,0,Compilation error,N/A,114.99999999999999
MMM,Велико Търново,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.016,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.04,0,Compilation error,N/A,114.99999999999999
SAM,Варна,15.0,OK OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA,0.015,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.007,0,Compilation error,N/A,114.99999999999999
