Име,Град,Brackets,Double,Ucongruence,Точки
RMM,Ямбол,100.0,99.99999999999999,20.0,220.0
KKK,София,100.0,99.99999999999999,20.0,220.0
VDH,Пловдив,5.0,99.99999999999999,100.0,205.0
ISL,Варна,0.0,83.33333333333333,100.0,183.33333333333331
CVM,Варна,50.0,99.99999999999999,30.0,180.0
ATB,Пловдив,5.0,50.00000000000001,100.0,155.0
GGP,София,15.0,99.99999999999999,20.0,135.0
NMM,Габрово,20.0,99.99999999999999,10.0,130.0
IBN,София,15.0,99.99999999999999,10.0,124.99999999999999
BIG,София,15.0,99.99999999999999,10.0,124.99999999999999
DNN,Варна,10.0,99.99999999999999,10.0,119.99999999999999
DPB,Пловдив,15.0,99.99999999999999,5.0,119.99999999999999
YRV,Плевен,15.0,99.99999999999999,0,114.99999999999999
MMM,Велико Търново,15.0,99.99999999999999,0,114.99999999999999
SAM,Варна,15.0,99.99999999999999,0,114.99999999999999
ADD,София,5.0,99.99999999999999,10.0,114.99999999999999
AAY,Варна,10.0,99.99999999999999,5.0,114.99999999999999
RNH,Ямбол,10.0,99.99999999999999,0,109.99999999999999
IVB,София,100.0,8.333333333333334,0.0,108.33333333333333
VYK,Хасково,5.0,91.66666666666666,10.0,106.66666666666666
PPB,Велико Търново,5.0,99.99999999999999,0,104.99999999999999
MVK,София,5.0,99.99999999999999,0.0,104.99999999999999
MII,Плевен,5.0,91.66666666666666,5.0,101.66666666666666
TIB,Габрово,0.0,99.99999999999999,0,99.99999999999999
TKK,София,0,99.99999999999999,0,99.99999999999999
ANZ,София,0.0,99.99999999999999,0,99.99999999999999
MYY,Шумен,0.0,99.99999999999999,0.0,99.99999999999999
VBM,София,5.0,91.66666666666666,0.0,96.66666666666666
LDD,София,5.0,91.66666666666666,0.0,96.66666666666666
ISS,Пловдив,0.0,91.66666666666666,0,91.66666666666666
DNN,Стара Загора,0,91.66666666666666,0,91.66666666666666
NGS,София,0.0,83.33333333333333,0,83.33333333333333
DPK,Габрово,0.0,66.66666666666667,0.0,66.66666666666667
MIK,Шумен,0.0,50.00000000000001,0.0,50.00000000000001
JGD,Шумен,0.0,50.00000000000001,0,50.00000000000001
IIN,Пловдив,0.0,41.66666666666667,0,41.66666666666667
EIR,Бургас,15.0,25.0,0,40.0
IMC,Плевен,5.0,33.333333333333336,0,38.333333333333336
VDM,Варна,0.0,33.333333333333336,0.0,33.333333333333336
FAA,Хасково,0,33.333333333333336,0,33.333333333333336
SIG,София,0,25.0,0.0,25.0
GIB,София,0.0,25.0,0.0,25.0
VCB,Пловдив,0.0,25.0,0.0,25.0
TCP,Враца,0.0,25.0,0,25.0
DMY,Шумен,0.0,16.666666666666668,5.0,21.666666666666668
TGM,София,0.0,16.666666666666668,0,16.666666666666668
MDD,София,15.0,0.0,0,15.0
DKV,Пловдив,15.0,0,0,15.0
MGM,Пловдив,5.0,0,5.0,10.0
BNV,София,10.0,0,0,10.0
MPA,Варна,0,8.333333333333334,0,8.333333333333334
NRD,Шумен,0.0,8.333333333333334,0,8.333333333333334
DDT,Благоевград,5.0,0.0,0,5.0
NCC,София,0.0,0.0,0.0,0.0
GPP,София,0,0.0,0.0,0.0
SZS,Бургас,0,0.0,0,0.0
MSS,Бургас,0,0,0,0
MTA,Велико Търново,0,0,0,0
NPD,София,0,0,0,0
DDA,Шумен,0.0,0.0,0.0,0.0
IVD,Ловеч,0,0.0,0,0.0
GST,Плевен,0,0.0,0,0.0
BSS,Варна,0,0.0,0,0.0
MMK,Плевен,0.0,0.0,0,0.0
HTT,Кюстендил,0.0,0.0,0,0.0
DSN,Ловеч,0,0.0,0,0.0
BDI,Велико Търново,0,0.0,0,0.0
VVK,Пловдив,0,0,0.0,0.0
ISP,София,0,0,0,0
DMK,Бургас,0,0,0,0
RNK,Варна,0.0,0.0,0,0.0
AGP,Ловеч,0,0.0,0,0.0
KIG,Благоевград,0,0.0,0.0,0.0
AEG,Шумен,0.0,0.0,0.0,0.0
SIK,Пловдив,0.0,0.0,0,0.0
SGD,Ловеч,0.0,0.0,0,0.0
IDI,Бургас,0,0,0,0
VAY,Велико Търново,0,0.0,0,0.0
BGG,София,0,0,0,0
AAD,Велико Търново,0,0,0,0
MMA,Велико Търново,0,0.0,0,0.0
JAG,София,0,0.0,0,0.0
SNG,Бургас,0.0,0,0,0.0
PDM,Смолян,0,0.0,0,0.0
AGG,Пловдив,0.0,0.0,0.0,0.0
