име,град,congruence-score,congruence-verdict,congruence-max-time,range-score,range-verdict,range-max-time,strip-score,strip-verdict,strip-max-time,точки
VNM,Варна,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.112,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.042,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,299.99999999999994
KAD,София,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.201,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.046,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,299.99999999999994
GNI,София,82.35294117647058,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.243,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,282.35294117647055
OMY,София,82.35294117647058,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.089,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,282.35294117647055
VPG,София,82.35294117647058,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.06,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,282.35294117647055
YaPV,София,82.35294117647058,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.288,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,282.35294117647055
TCT,София,82.35294117647058,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.082,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,282.35294117647055
DTP,Плевен,82.35294117647058,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.044,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,282.35294117647055
MVK,Пловдив,82.35294117647058,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.249,94.44444444444446,OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,276.797385620915
BVM,София,82.35294117647058,OK OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.042,94.44444444444446,OK OK OK OK WA OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,276.797385620915
AMG,София,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.032,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,276.4705882352941
GMP,Варна,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.517,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,276.4705882352941
DGY,София,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.225,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,276.4705882352941
DIK,Шумен,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.032,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,276.4705882352941
MND,София,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.222,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,276.4705882352941
YuRS,София,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.083,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,276.4705882352941
APG,Варна,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.04,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,276.4705882352941
BCG,София,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.295,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,276.4705882352941
YPP,Габрово,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.061,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,276.4705882352941
ROP,Варна,70.58823529411765,OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.032,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,270.5882352941176
NOP,Варна,70.58823529411765,OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL TL,N/A,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.046,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.009,270.5882352941176
AIP,Русе,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,91.66666666666666,OK OK OK OK OK OK OK OK OK OK TL OK,N/A,100.00000000000001,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,268.1372549019608
