Име,Град,Dry,Password,Restore,Точки
MNN,Хасково,100.0,100.00000000000003,99.99999999999999,300.0
VNF,Плевен,100.0,91.66666666666669,75.0,266.6666666666667
ANYa,София,100.0,79.16666666666667,66.66666666666667,245.83333333333337
DIM,София,100.0,45.83333333333333,99.99999999999999,245.83333333333331
EAG,София,100.0,66.66666666666666,75.0,241.66666666666666
AMM,София,100.0,91.66666666666669,8.333333333333334,200.00000000000003
GSN,София,60.0,54.16666666666666,75.0,189.16666666666666
VKV,Плевен,50.0,70.83333333333333,66.66666666666667,187.5
DHD,Габрово,100.0,45.83333333333333,0.0,145.83333333333331
OBO,София,100.0,45.83333333333333,0.0,145.83333333333331
SNH,Шумен,100.0,41.666666666666664,0.0,141.66666666666666
MIM,Габрово,30.0,100.00000000000003,0.0,130.00000000000003
EKM,София,0.0,62.499999999999986,66.66666666666667,129.16666666666666
SSP,Габрово,30.0,45.83333333333333,50.00000000000001,125.83333333333334
RII,София,100.0,16.666666666666668,0.0,116.66666666666667
VAN,София,100.0,12.5,0.0,112.5
KIP,София,60.0,49.99999999999999,0.0,110.0
AIK,София,70.0,20.833333333333336,16.666666666666668,107.50000000000001
ENV,Пловдив,60.0,45.83333333333333,0.0,105.83333333333333
NHI,Шумен,60.0,37.5,0.0,97.5
APP,Шумен,50.0,45.83333333333333,0.0,95.83333333333333
VBC,София,20.0,0.0,75.0,95.0
LIV,София,40.0,54.16666666666666,0.0,94.16666666666666
GSD,София,0,79.16666666666667,0.0,79.16666666666667
RSI,София,40.0,37.5,0.0,77.5
BID,София,30.0,45.83333333333333,0,75.83333333333333
EDJ,Русе,50.0,20.833333333333336,0.0,70.83333333333334
ZSN,Шумен,70.0,0.0,0.0,70.0
DMS,София,10.0,58.33333333333332,0.0,68.33333333333331
VDB,Хасково,30.0,37.5,0.0,67.5
VYaV,София,20.0,45.83333333333333,0.0,65.83333333333333
MGG,София,20.0,45.83333333333333,0,65.83333333333333
MPA,Враца,30.0,20.833333333333336,0.0,50.833333333333336
VIK,Шумен,30.0,20.833333333333336,0,50.833333333333336
KII,Варна,50.0,0.0,0.0,50.0
VNP,Шумен,0.0,45.83333333333333,0.0,45.83333333333333
BMI,София,0.0,45.83333333333333,0.0,45.83333333333333
IKB,Габрово,0.0,45.83333333333333,0.0,45.83333333333333
BSK,Варна,0.0,41.666666666666664,0.0,41.666666666666664
SDI,Бургас,0,37.5,0,37.5
SAS,София,10.0,25.000000000000004,0.0,35.0
GAD,София,0.0,33.333333333333336,0.0,33.333333333333336
VSP,Пловдив,0,25.000000000000004,0.0,25.000000000000004
BDM,София,0.0,25.000000000000004,0.0,25.000000000000004
AAA,Варна,0.0,20.833333333333336,0.0,20.833333333333336
VJJ,Пловдив,20.0,0.0,0.0,20.0
AVD,Пловдив,10.0,0.0,0.0,10.0
ABK,София,10.0,0.0,0.0,10.0
KDS,Пловдив,10.0,0,0,10.0
KTV,Русе,0.0,4.166666666666667,0.0,4.166666666666667
SLM,Русе,0,0,0,0
GAA,Самоков,0,0.0,0,0.0
PHP,Добрич,0.0,0,0.0,0.0
IIM,София,0.0,0.0,0.0,0.0
EID,Пловдив,0.0,0,0,0.0
EDD,Ловеч,0.0,0,0,0.0
