име,град,balans-score,balans-verdict,balans-max-time,ball-score,ball-verdict,ball-max-time,beautiful-score,beautiful-verdict,beautiful-max-time,точки
SSR,Шумен,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.056,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,300.0
KDT,София,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.024,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.008,300.0
FPD,Варна,41.66666666666667,OK OK OK OK OK TL TL TL TL TL TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,94.11764705882351,WA OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,235.7843137254902
DDL,София,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.058,88.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK WA,0.004,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,235.05882352941177
VTD,София,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.056,24.0,OK WA WA WA WA WA WA OK WA WA WA OK OK WA OK OK WA WA WA WA WA WA WA WA WA,0.004,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,223.99999999999994
KRS,София,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.024,40.0,WA OK WA WA WA WA OK WA OK WA WA WA OK OK WA OK OK WA OK OK OK WA WA WA WA,0.01,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA,0.009,216.47058823529412
DNG,София,33.333333333333336,OK OK OK OK WA TL TL TL TL TL TL TL,N/A,68.0,WA WA OK OK OK WA WA WA OK OK OK WA OK OK OK OK OK WA WA OK OK OK OK OK OK,0.004,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,201.33333333333331
MIN,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.027,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.004,99.99999999999997,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.005,199.99999999999997
VVG,Русе,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.058,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK WA TL OK WA,N/A,52.94117647058824,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL,N/A,196.94117647058823
LPB,София,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.075,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,191.05882352941177
KIG,София,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.028,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,191.05882352941177
GMK,София,91.66666666666666,OK OK OK OK WA OK OK OK OK OK OK OK,0.031,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,52.94117647058824,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL,N/A,188.6078431372549
BHB,София,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.053,32.0,OK WA OK OK WA OK WA WA WA WA OK WA WA OK WA WA WA WA WA OK WA WA WA WA OK,0.004,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,179.05882352941177
IVI,Перник,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.065,32.0,WA WA OK WA OK OK OK OK WA WA OK OK WA WA WA OK WA WA WA WA WA WA WA WA WA,0.004,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,179.05882352941177
IKD,Шумен,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.076,24.0,OK OK OK WA WA WA WA OK OK TL TL TL TL TL TL TL TL TL TL TL WA TL TL OK TL,N/A,47.05882352941177,WA OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL,N/A,171.05882352941177
DMM,Габрово,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.031,20.0,OK WA WA WA WA WA WA OK WA WA WA OK WA WA OK OK WA WA WA WA WA WA WA WA WA,0.005,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,167.05882352941177
DZT,София,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.027,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,11.764705882352942,OK OK WA WA WA WA WA TL TL TL TL TL TL TL TL TL TL,N/A,155.76470588235293
MDD,Варна,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.053,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,5.882352941176471,OK WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,149.88235294117646
AAB,София,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.027,36.0,OK OK OK WA WA OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,11.764705882352942,OK OK WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,147.76470588235293
NDL,София,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.027,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.005,144.0
AMK,Варна,0,Compilation error,N/A,88.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA OK WA,0.006,52.94117647058824,RE WA WA OK OK WA WA OK WA WA OK OK OK WA OK OK OK,N/A,140.94117647058823
BGM,София,16.666666666666668,WA WA WA WA WA WA WA WA OK WA OK WA,0.026,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,76.47058823529412,OK OK OK WA OK OK WA OK OK WA OK WA OK OK OK OK OK,0.005,137.13725490196077
IMK,Варна,16.666666666666668,WA WA WA WA WA WA WA WA OK WA OK WA,0.033,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,76.47058823529412,OK OK OK OK OK OK OK OK OK OK OK OK OK TL TL TL TL,N/A,137.13725490196077
KYS,Ямбол,33.333333333333336,OK OK OK OK TL TL TL TL TL TL TL TL,N/A,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK WA TL OK WA,N/A,52.94117647058824,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL,N/A,130.27450980392157
SIP,София,33.333333333333336,OK OK OK TL OK TL TL TL TL TL TL TL,N/A,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK WA TL OK WA,N/A,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,124.39215686274511
MSS,Варна,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.037,24.0,OK WA WA WA WA WA WA OK WA WA WA OK OK WA OK OK WA WA WA WA WA WA WA WA WA,0.005,0,Compilation error,N/A,123.99999999999999
YKT,София,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.058,12.0,WA OK WA WA WA WA OK WA WA TL TL TL TL TL TL TL TL TL TL TL OK TL TL WA TL,N/A,11.764705882352942,OK OK WA WA WA WA WA WA TL TL TL TL TL TL TL TL TL,N/A,123.76470588235293
DSR,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.076,68.0,WA WA OK OK OK WA WA WA OK OK OK WA OK OK OK OK OK WA WA OK OK OK OK OK OK,0.005,52.94117647058824,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL,N/A,120.94117647058823
DBS,София,33.333333333333336,OK OK OK TL OK TL TL TL TL TL TL TL,N/A,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,41.1764705882353,OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL,N/A,118.50980392156865
BSD,София,25.0,OK OK OK TL TL TL TL TL TL TL TL TL,N/A,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,116.05882352941177
MSP,Варна,0,Compilation error,N/A,20.0,OK OK OK OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,94.11764705882351,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA OK,0.004,114.11764705882351
DDM,Варна,16.666666666666668,WA WA WA WA WA WA WA WA OK WA OK WA,0.03,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,52.94117647058824,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL,N/A,113.60784313725492
KMK,София,33.333333333333336,OK OK OK TL OK TL TL TL TL TL TL TL,N/A,32.0,WA OK WA WA WA WA OK WA WA WA WA WA OK WA WA OK WA WA OK WA OK OK OK WA WA,0.004,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,112.39215686274511
SYM,София,0.0,WA WA WA WA WA WA WA WA WA WA WA WA,0.004,32.0,OK WA OK OK WA OK WA WA WA WA OK WA WA OK WA WA WA WA WA OK WA WA WA WA OK,0.005,76.47058823529412,OK OK OK WA OK OK OK OK WA WA OK OK OK WA OK OK OK,0.004,108.47058823529412
KAI,София,16.666666666666668,OK OK RE RE RE RE RE RE RE RE RE RE,N/A,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK RE RE OK RE,N/A,47.05882352941177,OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL,N/A,107.72549019607844
GII,Ловеч,99.99999999999999,OK OK OK OK OK OK OK OK OK OK OK OK,0.07,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.004,5.882352941176471,WA OK WA WA WA WA WA WA WA TL TL TL TL TL TL TL TL,N/A,105.88235294117646
OVV,Варна,8.333333333333334,OK RE RE RE RE RE RE RE RE RE RE RE,N/A,44.0,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL TL TL TL OK TL TL OK TL,N/A,52.94117647058824,OK OK OK OK OK OK OK OK OK TL TL TL TL TL TL TL TL,N/A,105.27450980392157
