Name,City,Number,Sdiv,Stories,Score
EIM,Yambol,100.0,99.99999999999997,100.0,300.0
DNK,Haskovo,100.0,99.99999999999997,100.0,300.0
IGG,Shumen,100.0,99.99999999999997,100.0,300.0
VNT,Sofia,100.0,99.99999999999997,100.0,300.0
PIN,Ruse,100.0,99.99999999999997,100.0,300.0
IYY,Varna,100.0,99.99999999999997,100.0,300.0
EEI,Ruse,100.0,99.99999999999997,100.0,300.0
ILB,Sofia,100.0,99.99999999999997,100.0,300.0
SAS,Yambol,95.0,99.99999999999997,100.0,295.0
RKC,Varna,90.0,99.99999999999997,100.0,290.0
ATK,Varna,100.0,76.66666666666667,100.0,276.6666666666667
VLG,Shumen,45.0,99.99999999999997,100.0,244.99999999999997
AVG,Haskovo,100.0,23.333333333333332,100.0,223.33333333333331
IIG,Shumen,30.0,99.99999999999997,90.0,219.99999999999997
ADA,Pleven,100.0,0,100.0,200.0
RRB,Sofia,100.0,99.99999999999997,0,199.99999999999997
IDI,Sofia,0.0,99.99999999999997,100.0,199.99999999999997
ISD,Plovdiv,100.0,29.999999999999996,65.0,195.0
SSP,StaraZagora,100.0,23.333333333333332,65.0,188.33333333333331
PGA,Shumen,30.0,99.99999999999997,55.0,184.99999999999997
AGS,VTarnovo,50.0,20.0,100.0,170.0
AII,Pleven,15.0,99.99999999999997,55.0,169.99999999999997
GAM,Varna,65.0,99.99999999999997,0,164.99999999999997
YVL,Sofia,0.0,66.66666666666669,95.0,161.66666666666669
GBB,Shumen,30.0,29.999999999999996,90.0,150.0
IDA,Pleven,30.0,23.333333333333332,95.0,148.33333333333331
RGM,Haskovo,30.0,26.666666666666664,90.0,146.66666666666666
PVG,Sofia,15.0,23.333333333333332,95.0,133.33333333333331
KGA,Burgas,15.0,20.0,95.0,130.0
VGV,Shumen,30.0,0,95.0,125.0
SHB,StaraZagora,30.0,0.0,95.0,125.0
MIP,Ruse,0,26.666666666666664,95.0,121.66666666666666
GSS,Burgas,15.0,3.3333333333333335,95.0,113.33333333333333
SYI,VTarnovo,0.0,23.333333333333332,90.0,113.33333333333333
GIG,Ruse,15.0,0.0,90.0,105.0
KAB,Sofia,0.0,13.333333333333334,90.0,103.33333333333333
IMM,Plovdiv,70.0,29.999999999999996,0,100.0
VLV,Plovdiv,10.0,0.0,90.0,100.0
GPP,StaraZagora,30.0,23.333333333333332,45.0,98.33333333333333
HCM,Sofia,20.0,20.0,50.0,90.0
TTG,StaraZagora,0.0,20.0,65.0,85.0
GTY,Sofia,30.0,3.3333333333333335,50.0,83.33333333333334
EDG,Shumen,0.0,0.0,80.0,80.0
VIS,Pleven,30.0,0.0,45.0,75.0
ASC,VTarnovo,0.0,0,65.0,65.0
TMH,Varna,10.0,0.0,55.0,65.0
DND,Burgas,30.0,0,25.0,55.0
KMK,Vraca,0.0,0,50.0,50.0
GPP,Sofia,0.0,0.0,50.0,50.0
MDD,Samokov,0.0,0.0,45.0,45.0
PMT,Sofia,30.0,0,15.0,45.0
NEK,Sofia,0.0,0.0,45.0,45.0
GDG,Gabrovo,15.0,23.333333333333332,5.0,43.33333333333333
AKM,Sofia,0.0,0.0,40.0,40.0
GMM,StaraZagora,0.0,0.0,30.0,30.0
DKV,Pleven,30.0,0.0,0.0,30.0
DJS,Sofia,0.0,0.0,25.0,25.0
NKN,Pleven,10.0,0.0,0.0,10.0
IMZ,Smolyan,10.0,0,0.0,10.0
DNT,Sofia,10.0,0,0.0,10.0
ADD,Pernik,0.0,0,0,0.0
MMP,Pleven,0.0,0,0.0,0.0
MEC,Vraca,0.0,0,0.0,0.0
AIV,Sofia,0.0,0.0,0.0,0.0
HVH,Pleven,0.0,0.0,0.0,0.0
DPB,Ruse,0,0,0,0
VAP,Sofia,0,0.0,0.0,0.0
