Име,Град,Corridor,Paint,Progres,Точки
RSD,Пловдив,100.0,100.0,100.0,300.0
AVD,Пловдив,100.0,100.0,100.0,300.0
IYK,Варна,100.0,100.0,100.0,300.0
TOT,Габрово,100.0,95.0,100.0,295.0
AGR,София,72.5,100.0,100.0,272.5
DNV,Пловдив,52.5,100.0,100.0,252.5
AAG,Ямбол,52.5,100.0,100.0,252.5
VVS,Русе,52.5,90.0,100.0,242.5
DRD,Ямбол,37.5,100.0,100.0,237.5
RYA,Варна,52.5,100.0,84.0,236.5
YVP,Габрово,57.5,100.0,76.0,233.5
KRH,Варна,37.5,95.0,100.0,232.5
VAC,Пловдив,32.5,100.0,100.0,232.5
DYO,Варна,32.5,100.0,100.0,232.5
SCN,София,30.0,95.0,100.0,225.0
KVP,София,25.0,100.0,100.0,225.0
SIT,София,75.0,95.0,52.0,222.0
MKD,София,75.0,100.0,32.0,207.0
AHH,София,0.0,100.0,100.0,200.0
AJV,София,0.0,100.0,100.0,200.0
VVM,Пловдив,0.0,100.0,100.0,200.0
YAZ,Плевен,20.0,100.0,64.0,184.0
DAC,Пловдив,37.5,95.0,36.0,168.5
BSD,Бургас,25.0,75.0,56.0,156.0
KKI,Варна,0.0,100.0,56.0,156.0
PVD,Габрово,75.0,80.0,0,155.0
SPT,София,47.5,50.0,56.0,153.5
VPV,Габрово,52.5,0.0,100.0,152.5
HEB,Хасково,75.0,15.0,60.0,150.0
GBH,Габрово,0.0,65.0,84.0,149.0
TPH,София,30.0,95.0,24.0,149.0
BII,Плевен,0.0,100.0,44.0,144.0
IMS,София,37.5,5.0,100.0,142.5
AII,Габрово,37.5,0.0,100.0,137.5
IAD,София,37.5,0.0,100.0,137.5
EBK,Благоевград,55.0,35.0,44.0,134.0
MSM,Габрово,10.0,100.0,16.0,126.0
GCS,Варна,35.0,90.0,0.0,125.0
DDC,София,17.5,5.0,100.0,122.5
ZBB,София,32.5,60.0,20.0,112.5
HHT,Велико Търново,0,100.0,0.0,100.0
TTT,Варна,17.5,5.0,76.0,98.5
ARR,Стара Загора,0.0,95.0,0,95.0
LBS,Бургас,35.0,0,56.0,91.0
GGA,София,52.5,0.0,36.0,88.5
VKK,Бургас,37.5,50.0,0.0,87.5
AEG,София,0,85.0,0.0,85.0
SCC,София,0.0,0.0,76.0,76.0
BPA,София,20.0,0.0,52.0,72.0
NMM,Варна,0.0,0.0,72.0,72.0
BKM,София,0,5.0,56.0,61.0
KCS,Русе,27.5,0,16.0,43.5
ILC,Варна,37.5,0,0,37.5
MND,Варна,0,0,32.0,32.0
NKN,Варна,0,10.0,20.0,30.0
NIY,София,12.5,0,16.0,28.5
DGD,Ловеч,25.0,0.0,0,25.0
GVR,Плевен,0,0,16.0,16.0
HMT,Пловдив,0.0,0.0,16.0,16.0
IJG,Плевен,0,5.0,8.0,13.0
GAH,Ловеч,0.0,0.0,12.0,12.0
AAM,Пловдив,0.0,0.0,12.0,12.0
TTP,Ловеч,0,0,8.0,8.0
ANK,Варна,7.5,0.0,0,7.5
BMM,Плевен,0.0,0.0,4.0,4.0
IAK,Велико Търново,0,0.0,4.0,4.0
YGD,Шумен,0.0,0.0,4.0,4.0
NKM,Велико Търново,0.0,0.0,4.0,4.0
VBK,Кюстендил,0,0,0.0,0.0
JDD,Шумен,0,0,0,0
BEV,Плевен,0.0,0,0.0,0.0
ICS,Ловеч,0.0,0.0,0.0,0.0
SNN,Плевен,0.0,0.0,0,0.0
VDG,Кюстендил,0,0,0.0,0.0
IGH,Самоков,0,0,0,0
ABI,Кюстендил,0,0.0,0.0,0.0
SAY,Благоевград,0.0,0,0.0,0.0
HKH,Варна,0.0,0,0.0,0.0
NAP,София,0.0,0.0,0.0,0.0
BGA,Самоков,0,0.0,0,0.0
AGA,Плевен,0,0.0,0,0.0
BKN,Кюстендил,0,0.0,0.0,0.0
AVB,Велико Търново,0.0,0.0,0.0,0.0
