Name,City,Color,Subsums,Traffic,Score
MDK,Gabrovo,100.0,100.0,94.0,294.0
ZEM,Pleven,20.0,100.0,96.0,216.0
IYS,Shumen,5.0,100.0,100.0,205.0
CII,Sofia,75.0,100.0,0.0,175.0
KKI,Plovdiv,45.0,100.0,20.0,165.0
KKK,Sofia,90.0,70.0,0,160.0
BEI,Ruse,100.0,10.0,48.0,158.0
DVB,Gabrovo,45.0,100.0,10.0,155.0
VIK,Ruse,45.0,0.0,100.0,145.0
SIN,Pleven,100.0,20.0,18.0,138.0
AND,Varna,20.0,0.0,100.0,120.0
AIC,Sofia,45.0,45.0,16.0,106.0
BMG,Plovdiv,45.0,45.0,0,90.0
SNB,Shumen,10.0,80.0,0.0,90.0
SDM,Haskovo,5.0,50.0,30.0,85.0
DPT,VTarnovo,55.0,25.0,0.0,80.0
IPD,Varna,45.0,30.0,0.0,75.0
VAD,Gabrovo,35.0,30.0,8.0,73.0
MPM,Ruse,35.0,30.0,8.0,73.0
AIT,Blagoevgrad,55.0,5.0,8.0,68.0
DPK,Plovdiv,45.0,10.0,0,55.0
FTI,Shumen,45.0,0.0,8.0,53.0
GGI,Varna,45.0,0.0,2.0,47.0
LLK,Varna,45.0,0.0,2.0,47.0
LVM,Burgas,45.0,0.0,0,45.0
AAM1,Plovdiv,20.0,5.0,12.0,37.0
DTK,Smolyan,25.0,5.0,0.0,30.0
TTG,Gabrovo,5.0,15.0,0.0,20.0
MGM,VTarnovo,10.0,5.0,0.0,15.0
IBB,Shumen,0,10.0,0,10.0
FIM,Sofia,10.0,0.0,0.0,10.0
SDK,Sofia,10.0,0.0,0,10.0
KTK,Sofia,10.0,0.0,0.0,10.0
BNS,Smolyan,0.0,5.0,0.0,5.0
DDG,Varna,0.0,5.0,0.0,5.0
VMS,Sofia,0.0,0.0,0.0,0.0
AST,Sofia,0.0,0.0,0.0,0.0
YBI,Sofia,0,0,0,0
