name,city,bio-score,bio-verdict,bio-max-time,degrees-score,degrees-verdict,degrees-max-time,dentist-score,dentist-verdict,dentist-max-time,score
MYY,Shumen,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.056,100.0,OK OK OK OK OK OK OK OK OK OK,0.006,300.0
NNN,Varna,90.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK WA OK OK OK,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.059,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,290.0
MOB,Pleven,90.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,290.0
RMM,Yambol,90.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK WA OK OK OK,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,290.0
ATB,Plovdiv,85.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.056,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,285.0
DNN,Varna,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.003,75.0,OK OK OK OK OK OK OK OK WA WA OK OK OK OK WA WA WA OK OK OK,0.016,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,275.0
VDM,Varna,65.0,OK OK OK OK OK OK OK OK OK OK OK WA WA WA WA WA OK OK WA WA,0.186,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,265.0
SAM,Varna,60.0,TL OK OK OK OK TL OK TL OK OK TL OK TL OK TL TL OK TL OK OK,N/A,75.0,OK OK OK OK OK OK OK OK WA WA OK OK OK OK WA WA WA OK OK OK,0.019,90.0,OK OK OK OK OK OK OK OK OK WA,0.003,225.0
VPM,Blagoevgrad,85.0,OK OK OK OK OK OK OK OK OK OK OK WA OK OK OK OK OK OK WA WA,0.003,35.0,OK OK OK OK OK TL TL TL TL TL OK TL TL TL TL TL TL OK TL TL,N/A,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,220.0
OBA,Varna,15.0,WA WA OK WA WA WA WA WA WA WA WA OK WA WA WA OK WA WA WA WA,0.003,100.0,OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK,0.019,100.0,OK OK OK OK OK OK OK OK OK OK,0.003,215.0
