Name,City,Bio,Degrees,Dentist,Score
MYY,Shumen,100.0,100.0,100.0,300.0
NNN,Varna,90.0,100.0,100.0,290.0
MOB,Pleven,90.0,100.0,100.0,290.0
RMM,Yambol,90.0,100.0,100.0,290.0
ATB,Plovdiv,85.0,100.0,100.0,285.0
DNN,Varna,100.0,75.0,100.0,275.0
VDM,Varna,65.0,100.0,100.0,265.0
SAM,Varna,60.0,75.0,90.0,225.0
VPM,Blagoevgrad,85.0,35.0,100.0,220.0
OBA,Varna,15.0,100.0,100.0,215.0
GGP,Varna,80.0,30.0,100.0,210.0
NMM,Gabrovo,85.0,25.0,100.0,210.0
AAY,Varna,10.0,100.0,100.0,210.0
ISL,Varna,15.0,100.0,90.0,205.0
DSS,Varna,10.0,100.0,90.0,200.0
VDH,Plovdiv,100.0,100.0,0.0,200.0
HDD,Varna,0.0,100.0,100.0,200.0
VIG,Sofia,0.0,100.0,100.0,200.0
MDA,Varna,0.0,100.0,90.0,190.0
VAK,Plovdiv,60.0,25.0,100.0,185.0
BSS,Varna,75.0,100.0,0.0,175.0
BKK,Sofia,100.0,40.0,10.0,150.0
JAG,Yambol,10.0,25.0,100.0,135.0
BIG,Sofia,10.0,25.0,100.0,135.0
MMK,Pleven,5.0,25.0,100.0,130.0
MEI,Varna,100.0,25.0,0,125.0
SAGG,Varna,0.0,25.0,100.0,125.0
VBM,Sofia,0.0,25.0,100.0,125.0
YRV,Pleven,0.0,25.0,100.0,125.0
ASS,Varna,0.0,25.0,100.0,125.0
EPV,Dobrich,0.0,25.0,100.0,125.0
DRP,Varna,85.0,35.0,0.0,120.0
RNH,Yambol,0.0,100.0,20.0,120.0
GSZ,Blagoevgrad,5.0,0.0,100.0,105.0
NDG,Sofia,80.0,25.0,0.0,105.0
CVM,Varna,0,0,100.0,100.0
RLB,Blagoevgrad,0,0.0,100.0,100.0
KCC,Varna,0.0,0.0,100.0,100.0
DMK,Varna,0.0,25.0,70.0,95.0
TMD,Sofia,10.0,0.0,80.0,90.0
ISS,Plovdiv,80.0,5.0,0,85.0
NGS,Sofia,85.0,0.0,0.0,85.0
RNK,Varna,85.0,0.0,0,85.0
MGM,Plovdiv,0.0,25.0,50.0,75.0
ISP,Sofia,0.0,75.0,0.0,75.0
IIN,Plovdiv,5.0,25.0,30.0,60.0
TGM,Sofia,5.0,25.0,30.0,60.0
DPK,Gabrovo,0.0,55.0,0,55.0
ANZ,Sofia,0,35.0,20.0,55.0
VVR,Varna,10.0,35.0,0,45.0
FAA,Haskovo,0.0,40.0,0.0,40.0
BVE,Kardjali,0.0,35.0,0.0,35.0
MII,Pleven,10.0,25.0,0,35.0
AGG,Plovdiv,10.0,25.0,0.0,35.0
MAP,Varna,5.0,25.0,0,30.0
HDS,Shumen,0.0,0.0,30.0,30.0
TTK,Ruse,0.0,25.0,0.0,25.0
TKP,Varna,0.0,25.0,0.0,25.0
LKK,Sofia,0,25.0,0.0,25.0
VYK,Haskovo,0.0,25.0,0,25.0
ZSK,Pleven,0.0,15.0,10.0,25.0
YBE,Pleven,0,25.0,0,25.0
IDB,Plovdiv,0.0,25.0,0.0,25.0
TGS,Varna,10.0,15.0,0.0,25.0
DRP,Sofia,0,25.0,0,25.0
EIS,Sofia,0.0,25.0,0,25.0
EIR,Gabrovo,0,0.0,20.0,20.0
DRK,Varna,0,20.0,0,20.0
DMM,Kardjali,0.0,20.0,0.0,20.0
SIGG,Varna,0,0,20.0,20.0
SPV,Varna,5.0,10.0,0.0,15.0
IIZ,Plovdiv,10.0,0.0,0.0,10.0
EED,Plovdiv,0,10.0,0,10.0
MPA,Varna,0.0,0.0,10.0,10.0
SIS,Varna,0.0,0.0,10.0,10.0
VGB,Plovdiv,0,5.0,0,5.0
SBI,Gabrovo,0,5.0,0,5.0
DNN,StaraZagora,5.0,0.0,0.0,5.0
MZD,Varna,0.0,0.0,0,0.0
MAK,Ruse,0,0.0,0,0.0
SVK,Kardjali,0.0,0.0,0.0,0.0
SSK,VTarnovo,0,0,0,0
ADD,Sofia,0.0,0,0.0,0.0
BAM,Varna,0.0,0.0,0.0,0.0
RDG,Shumen,0,0.0,0.0,0.0
HGD,Pleven,0,0.0,0.0,0.0
TNM,Sofia,0.0,0.0,0.0,0.0
NTB,Sofia,0.0,0.0,0,0.0
AHT,Plovdiv,0.0,0.0,0.0,0.0
PST,Plovdiv,0,0.0,0,0.0
HTT,Kjustendil,0,0.0,0,0.0
GYY,Plovdiv,0.0,0.0,0,0.0
NCC,Sofia,0,0,0.0,0.0
FSK,Yambol,0.0,0.0,0,0.0
PPN,Sofia,0.0,0.0,0.0,0.0
MNY,Ruse,0.0,0.0,0,0.0
PPC,Gabrovo,0,0.0,0.0,0.0
NKP,Plovdiv,0,0.0,0.0,0.0
AGZ,Plovdiv,0.0,0.0,0.0,0.0
AVV,Varna,0,0.0,0,0.0
VVM,Pleven,0.0,0.0,0,0.0
MGG,Sofia,0,0.0,0.0,0.0
AAA,Varna,0,0.0,0,0.0
