Име,Град,Cards,Game,Palindromes,Точки
DDHM,Варна,100.0,100.0,100.0,300.0
KAD,София,100.0,96.0,100.0,296.0
VPG,София,100.0,76.0,100.0,276.0
KKT,Варна,100.0,60.0,100.0,260.0
YRS,София,50.0,100.0,100.0,250.0
JPP,Габрово,100.0,60.0,75.0,235.0
DYS,Варна,60.0,64.0,100.0,224.0
KMD,София,100.0,100.0,15.0,215.0
GTK,Пловдив,20.0,76.0,100.0,196.0
GNI,София,90.0,48.0,55.0,193.0
OYM,София,90.0,96.0,5.0,191.0
VDT,Русе,100.0,60.0,25.0,185.0
DTP,Плевен,0.0,84.0,100.0,184.0
YPV,София,40.0,64.0,75.0,179.0
NDD,София,5.0,76.0,95.0,176.0
MVK,Пловдив,5.0,76.0,85.0,166.0
GND,Варна,15.0,76.0,75.0,166.0
EEB,София,35.0,100.0,5.0,140.0
PRD,Варна,0.0,52.0,85.0,137.0
YAA,София,20.0,100.0,0.0,120.0
VLA,Плевен,20.0,100.0,0.0,120.0
BCS,Шумен,60.0,60.0,0.0,120.0
DND,София,100.0,12.0,0.0,112.0
AIP,Русе,80.0,12.0,5.0,97.0
DLI,София,15.0,72.0,5.0,92.0
VSD,Кърджали,20.0,52.0,20.0,92.0
ENC,Варна,25.0,60.0,0.0,85.0
NRD,Варна,80.0,4.0,0.0,84.0
APD,София,20.0,60.0,0.0,80.0
TII,Добрич,0,64.0,15.0,79.0
VNM,Варна,0.0,76.0,0.0,76.0
MKA,София,20.0,44.0,0,64.0
PSK,Варна,10.0,28.0,15.0,53.0
NDD,Шумен,5.0,36.0,0.0,41.0
KZP,Пловдив,15.0,24.0,0.0,39.0
KYK,Варна,25.0,8.0,0.0,33.0
VGN,Варна,20.0,12.0,0.0,32.0
MSK,Ямбол,10.0,12.0,5.0,27.0
VDC,Шумен,15.0,8.0,0.0,23.0
SNP,Пловдив,20.0,0,0,20.0
MVK,София,20.0,0.0,0.0,20.0
RKP,София,20.0,0,0,20.0
BKK,Варна,5.0,0,15.0,20.0
KKK,София,15.0,4.0,0.0,19.0
EBD,София,10.0,8.0,0,18.0
MPM,Стара Загора,0.0,12.0,5.0,17.0
PFN,Видин,15.0,0.0,0.0,15.0
YPY,Шумен,10.0,0,5.0,15.0
KAD,Шумен,15.0,0.0,0.0,15.0
KVT,Плевен,15.0,0.0,0.0,15.0
BCC,София,15.0,0.0,0.0,15.0
PLB,Варна,10.0,4.0,0.0,14.0
RNS,Варна,10.0,0.0,0.0,10.0
AVT,Плевен,10.0,0,0,10.0
VGH,София,10.0,0.0,0,10.0
NIA,Велико Търново,10.0,0.0,0,10.0
LAEA,Варна,10.0,0.0,0,10.0
RRJ,София,10.0,0.0,0,10.0
GII,Варна,10.0,0.0,0.0,10.0
EEG,София,10.0,0,0,10.0
HNH,Плевен,10.0,0,0.0,10.0
GIG,Варна,5.0,4.0,0,9.0
MRY,Плевен,0.0,8.0,0,8.0
MPP,Варна,0,8.0,0.0,8.0
EED1,Пловдив,5.0,0,0.0,5.0
PHZ,Пловдив,5.0,0.0,0.0,5.0
LIK,Плевен,5.0,0,0,5.0
BCG,София,0.0,0.0,5.0,5.0
MAB,Варна,5.0,0.0,0.0,5.0
KRI,Варна,5.0,0.0,0.0,5.0
MMS,Русе,0,4.0,0.0,4.0
BDD,София,0,4.0,0.0,4.0
PRB,Варна,0,0,0,0
IGP,Пловдив,0,0,0,0
VIV,Пазарджик,0,0,0,0
VBB,Варна,0,0.0,0.0,0.0
TSD,Велико Търново,0.0,0.0,0,0.0
NVR,Варна,0.0,0.0,0.0,0.0
GIU,Шумен,0,0,0,0
EPP,Плевен,0.0,0,0.0,0.0
DIG,Шумен,0,0,0.0,0.0
VMM,Шумен,0,0.0,0.0,0.0
YCH,София,0,0,0,0
NSS,София,0.0,0,0.0,0.0
AHN,Габрово,0.0,0.0,0,0.0
MEB,Плевен,0,0,0,0
KJJ,София,0.0,0.0,0.0,0.0
BSK,Варна,0,0.0,0.0,0.0
NVM,Варна,0,0.0,0,0.0
VDV,Шумен,0.0,0.0,0.0,0.0
KMB,Плевен,0.0,0,0,0.0
AAH,Шумен,0,0,0,0
TSS,Шумен,0,0,0.0,0.0
SPD,Пазарджик,0.0,0.0,0,0.0
MMM,Шумен,0,0.0,0,0.0
EKP,София,0,0,0,0
SJS,Шумен,0,0,0,0
INV,Пловдив,0,0,0,0
BTN,Шумен,0,0,0,0
KMA,София,0.0,0,0,0.0
KBA,Плевен,0,0.0,0.0,0.0
ADD,Плевен,0.0,0.0,0.0,0.0
PDP,Плевен,0,0.0,0.0,0.0
BIZ,Варна,0,0.0,0,0.0
LBI,София,0,0,0,0
VKI,Варна,0.0,0.0,0.0,0.0
SPM,Плевен,0.0,0,0,0.0
SVP,Варна,0,0.0,0,0.0
HDM,Варна,0.0,0.0,0,0.0
PIU,Пловдив,0,0,0,0
VEK,Пловдив,0,0,0.0,0.0
MJJ,Шумен,0,0,0,0
TSP,Плевен,0.0,0.0,0.0,0.0
GIS,Кърджали,0,0,0,0
NNS,Шумен,0.0,0,0,0.0
SMM,Шумен,0.0,0.0,0,0.0
HMG,София,0.0,0.0,0.0,0.0
